# id	sire	dam	sex	generation
407	-9997	-9996	2	F2
408	-9997	-9996	2	F2
409	-9997	-9996	2	F2
410	-9997	-9996	2	F2
411	-9997	-9996	2	F2
412	-9997	-9996	2	F2
413	-9997	-9996	1	F2
414	-9997	-9996	1	F2
415	-9997	-9996	1	F2
417	-9997	-9996	2	F2
418	-9997	-9996	2	F2
420	-9997	-9996	2	F2
422	-9997	-9996	1	F2
424	-9997	-9996	1	F2
425	-9997	-9996	2	F2
426	-9997	-9996	1	F2
428	-9997	-9996	2	F2
429	-9997	-9996	1	F2
431	-9997	-9996	1	F2
433	-9997	-9996	2	F2
436	-9997	-9996	1	F2
437	-9997	-9996	1	F2
438	-9997	-9996	1	F2
439	-9997	-9996	1	F2
441	-9997	-9996	2	F2
443	-9997	-9996	1	F2
445	-9997	-9996	1	F2
446	-9997	-9996	1	F2
447	-9997	-9996	1	F2
451	-9997	-9996	1	F2
452	-9997	-9996	1	F2
453	-9997	-9996	2	F2
454	-9997	-9996	2	F2
455	-9997	-9996	1	F2
458	-9997	-9996	2	F2
459	-9997	-9996	1	F2
460	-9997	-9996	2	F2
461	-9997	-9996	1	F2
462	-9997	-9996	2	F2
463	-9997	-9996	2	F2
466	-9997	-9996	2	F2
467	-9997	-9996	1	F2
468	-9997	-9996	2	F2
470	-9997	-9996	2	F2
472	-9997	-9996	1	F2
473	-9997	-9996	1	F2
474	-9997	-9996	2	F2
475	-9997	-9996	1	F2
476	-9997	-9996	1	F2
478	-9997	-9996	1	F2
1182	-9997	-9996	1	F2
1190	-9997	-9996	2	F2
1191	-9997	-9996	1	F2
545	100	116	1	F3
569	186	167	2	F3
572	87	132	2	F3
575	186	167	1	F3
578	87	132	1	F3
662	84	198	1	F3
679	127	141	2	F3
680	127	141	1	F3
684	154	113	2	F3
691	154	113	1	F3
692	125	128	1	F3
694	125	128	2	F3
696	165	202	1	F3
697	165	202	1	F3
699	73	101	2	F3
705	73	101	2	F3
730	196	124	2	F3
731	196	124	1	F3
733	204	121	2	F3
738	204	121	1	F3
759	195	178	2	F3
789	68	201	2	F3
792	68	201	1	F3
853	123	191	2	F3
854	123	191	1	F3
888	210	266	2	F3
889	210	266	1	F3
948	251	272	2	F3
950	218	282	2	F3
951	218	282	1	F3
955	251	272	1	F3
1011	200	280	1	F3
1029	259	256	1	F3
1030	259	256	2	F3
1032	220	267	2	F3
1036	239	260	1	F3
1057	238	269	2	F3
1059	238	269	1	F3
1060	245	233	1	F3
1065	250	215	2	F3
1070	231	208	2	F3
1071	231	208	1	F3
1079	223	243	1	F3
1085	274	253	2	F3
1086	223	243	2	F3
1090	232	216	2	F3
1091	232	216	1	F3
1094	217	228	2	F3
1102	217	228	1	F3
1115	183	226	2	F3
1118	263	242	1	F3
1124	263	242	2	F3
1134	197	249	1	F3
1138	197	249	2	F3
1139	478	135	2	F3 # sire randomly assigned
1140	478	135	1	F3 # sire randomly assigned
1162	230	275	2	F3
1163	230	275	1	F3
1198	323	332	2	F3
1202	326	334	2	F3
1207	326	334	1	F3
1209	323	332	1	F3
1214	349	292	1	F3
1219	143	130	2	F3
1223	349	292	2	F3
1225	297	315	2	F3
1231	297	315	1	F3
1235	131	309	2	F3
1252	363	299	1	F3
1254	301	318	1	F3
1261	301	318	2	F3
1264	363	299	2	F3
