scenario,Type,.05,.01
mu: 0- eps: 0,ell_0.4_MC,0.2275,0.1575
mu: 0- eps: 0,ell_0.1_MC,0.185,0.1175
mu: 0- eps: 0,ell_0.5_MC,0.22875,0.16375
mu: 0- eps: 0,ell_0.3_MC,0.22125,0.155
mu: 0- eps: 0,ell_0.2_MC,0.20875,0.14
