q	0.025	0.975	ELL	cpma	score	storey	minP	markov
0.01	0.004	0.017	0.011	0.006	0.006	1.0	1.0	0.999
0.001	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.004
