q	0.025	0.975	ELL	cpma	score	storey	minP	markov
0.01	0.004	0.017	0.64	0.019	0.019	0.01	0.009	1.0
0.001	0.0	0.003	0.004	0.001	0.001	0.0	0.0	0.115
