ghc,hc,bj,gbj,gnull,ggnull,cpma,score,fdr_ratio,minP,N,H0,H1,name,min_cor,avg_cor,max_cor,mu,eps,asymp,ghc-AvgFailPct,ghc-PctAllFail,gbj-AvgFailPct,gbj-PctAllFail,ggnull-AvgFailPct,ggnull-PctAllFail
6.5/775,6.5/775,4.0/847,1.0/871,2.5/860,2.5/860,10.0/555,8.0/768,5.0/785,9.0/758,400,5000,1000,I,0.0,0.0,0.0,2.681,10,detectable,0.0,0.0,0.184421875,0.0,0.0,0.0
6.5/636,6.5/636,4.0/706,1.0/733,2.5/728,2.5/728,10.0/430,5.0/639,8.0/629,9.0/610,400,5000,1000,I,0.0,0.0,0.0,2.448,10,detectable,0.0,0.0,0.1901979166666667,0.0,0.0,0.0
6.5/488,6.5/488,5.0/504,1.0/561,2.5/550,2.5/550,10.0/306,4.0/510,8.0/447,9.0/431,400,5000,1000,I,0.0,0.0,0.0,2.189,10,detectable,0.0,0.0,0.21667708333333333,0.0,0.0,0.0
5.5/340,5.5/340,7.0/313,4.0/362,2.5/364,2.5/364,10.0/192,1.0/365,8.0/267,9.0/255,400,5000,1000,I,0.0,0.0,0.0,1.896,10,detectable,0.0,0.0,0.24746354166666668,0.0020833333333333333,0.0,0.0
5.5/185,5.5/185,7.0/165,2.0/198,3.5/194,3.5/194,10.0/117,1.0/208,8.0/148,9.0/143,400,5000,1000,I,0.0,0.0,0.0,1.548,10,detectable,0.0,0.0,0.29840625,0.003125,0.0,0.0
5.5/100,5.5/100,7.0/86,4.0/102,2.5/114,2.5/114,8.0/68,1.0/115,9.5/63,9.5/63,400,5000,1000,I,0.0,0.0,0.0,1.095,10,undetectable,0.0,0.0,0.3776145833333333,0.007291666666666667,0.0,0.0
8.5/847,8.5/847,4.0/979,1.0/986,2.5/982,2.5/982,10.0/636,7.0/860,5.0/969,6.0/958,400,5000,1000,I,0.0,0.0,0.0,3.462,7,identifiable,0.0,0.0,0.22792708333333334,0.0,0.0,0.0
8.5/790,8.5/790,4.0/930,1.0/947,2.5/939,2.5/939,10.0/554,7.0/792,5.0/922,6.0/918,400,5000,1000,I,0.0,0.0,0.0,3.284,7,identifiable,0.0,0.0,0.23365625,0.0,0.0,0.0
7.5/732,7.5/732,4.0/871,1.0/896,2.5/888,2.5/888,10.0/475,9.0/710,5.0/864,6.0/845,400,5000,1000,I,0.0,0.0,0.0,3.096,7,identifiable,0.0,0.0,0.23268229166666668,0.0,0.0,0.0
8.5/641,8.5/641,4.0/801,1.0/821,2.5/807,2.5/807,10.0/393,7.0/651,5.0/773,6.0/755,400,5000,1000,I,0.0,0.0,0.0,2.896,7,identifiable,0.0,0.0,0.23887500000000003,0.0,0.0,0.0
7.5/553,7.5/553,5.0/666,1.0/719,2.5/696,2.5/696,10.0/319,9.0/540,4.0/669,6.0/651,400,5000,1000,I,0.0,0.0,0.0,2.681,7,detectable,0.0,0.0,0.24786979166666664,0.0,0.0,0.0
7.5/428,7.5/428,5.0/500,1.0/548,2.5/537,2.5/537,10.0/235,9.0/418,4.0/504,6.0/482,400,5000,1000,I,0.0,0.0,0.0,2.448,7,detectable,0.0,0.0,0.2625364583333333,0.0,0.0,0.0
8.5/306,8.5/306,5.0/322,1.0/372,2.5/371,2.5/371,10.0/173,7.0/308,4.0/326,6.0/315,400,5000,1000,I,0.0,0.0,0.0,2.189,7,detectable,0.0,0.0,0.27834375000000006,0.0010416666666666667,0.0,0.0
6.5/215,6.5/215,9.0/200,1.0/242,2.5/239,2.5/239,10.0/125,4.0/226,5.0/216,8.0/212,400,5000,1000,I,0.0,0.0,0.0,1.896,7,detectable,0.0,0.0,0.30839583333333326,0.0020833333333333333,0.0,0.0
5.5/133,5.5/133,7.0/119,4.0/141,1.5/148,1.5/148,10.0/81,3.0/146,8.0/117,9.0/114,400,5000,1000,I,0.0,0.0,0.0,1.548,7,detectable,0.0,0.0,0.3472395833333334,0.007291666666666667,0.0,0.0
5.0/90,5.0/90,5.0/90,7.0/86,2.5/95,2.5/95,10.0/61,1.0/96,8.0/70,9.0/68,400,5000,1000,I,0.0,0.0,0.0,1.095,7,undetectable,0.0,0.0,0.4075416666666667,0.009375,0.0,0.0
8.5/602,8.5/602,6.0/880,1.0/897,3.5/888,3.5/888,10.0/368,7.0/633,2.0/896,5.0/885,400,5000,1000,I,0.0,0.0,0.0,3.462,5,identifiable,0.0,0.0,0.2868125,0.0,0.0,0.0
8.5/537,8.5/537,6.0/817,2.0/854,4.5/834,4.5/834,10.0/334,7.0/590,1.0/864,3.0/843,400,5000,1000,I,0.0,0.0,0.0,3.284,5,identifiable,0.0,0.0,0.2883541666666666,0.0,0.0,0.0
8.5/501,8.5/501,6.0/728,3.0/760,4.5/745,4.5/745,10.0/279,7.0/506,1.0/786,2.0/764,400,5000,1000,I,0.0,0.0,0.0,3.096,5,identifiable,0.0,0.0,0.28863541666666664,0.0,0.0,0.0
7.5/429,7.5/429,6.0/594,1.5/640,4.5/623,4.5/623,10.0/223,9.0/427,1.5/640,3.0/627,400,5000,1000,I,0.0,0.0,0.0,2.896,5,detectable,0.0,0.0,0.2954322916666667,0.0,0.0,0.0
8.5/334,8.5/334,6.0/463,2.0/510,4.5/503,4.5/503,10.0/183,7.0/348,1.0/517,3.0/505,400,5000,1000,I,0.0,0.0,0.0,2.681,5,detectable,0.0,0.0,0.3037916666666666,0.0,0.0,0.0
7.5/285,7.5/285,6.0/332,2.0/384,4.5/368,4.5/368,10.0/145,9.0/272,1.0/385,3.0/372,400,5000,1000,I,0.0,0.0,0.0,2.448,5,detectable,0.0,0.0,0.315875,0.0010416666666666667,0.0,0.0
8.5/213,8.5/213,6.0/233,2.0/270,4.5/263,4.5/263,10.0/114,7.0/231,1.0/282,3.0/268,400,5000,1000,I,0.0,0.0,0.0,2.189,5,detectable,0.0,0.0,0.3296614583333334,0.0020833333333333333,0.0,0.0
7.5/156,7.5/156,9.0/155,3.0/184,1.5/187,1.5/187,10.0/82,5.0/171,4.0/175,6.0/165,400,5000,1000,I,0.0,0.0,0.0,1.896,5,detectable,0.0,0.0,0.35226041666666663,0.004166666666666667,0.0,0.0
5.0/118,5.0/118,7.0/106,5.0/118,2.5/121,2.5/121,10.0/66,1.0/123,8.0/88,9.0/86,400,5000,1000,I,0.0,0.0,0.0,1.548,5,undetectable,0.0,0.0,0.3887291666666666,0.005208333333333333,0.0,0.0
4.5/79,4.5/79,7.0/67,6.0/78,2.5/81,2.5/81,10.0/52,1.0/82,8.0/60,9.0/57,400,5000,1000,I,0.0,0.0,0.0,1.095,5,undetectable,0.0,0.0,0.4245572916666667,0.011458333333333333,0.0,0.0
8.5/287,8.5/287,6.0/667,3.0/698,4.5/679,4.5/679,10.0/171,7.0/361,1.0/764,2.0/748,400,5000,1000,I,0.0,0.0,0.0,3.462,3,identifiable,0.0,0.0,0.35356249999999995,0.0010416666666666667,0.0,0.0
8.5/268,8.5/268,6.0/567,3.0/614,4.5/587,4.5/587,10.0/148,7.0/322,1.0/667,2.0/654,400,5000,1000,I,0.0,0.0,0.0,3.284,3,identifiable,0.0,0.0,0.3529635416666667,0.0,0.0,0.0
8.5/235,8.5/235,6.0/434,3.0/489,4.5/456,4.5/456,10.0/128,7.0/265,1.0/545,2.0/535,400,5000,1000,I,0.0,0.0,0.0,3.096,3,identifiable,0.0,0.0,0.3576770833333333,0.0,0.0,0.0
8.5/204,8.5/204,6.0/390,3.0/429,4.5/397,4.5/397,10.0/116,7.0/221,1.0/482,2.0/465,400,5000,1000,I,0.0,0.0,0.0,2.896,3,detectable,0.0,0.0,0.3684895833333333,0.0020833333333333333,0.0,0.0
8.5/189,8.5/189,6.0/272,3.0/308,4.5/288,4.5/288,10.0/100,7.0/190,1.0/351,2.0/340,400,5000,1000,I,0.0,0.0,0.0,2.681,3,detectable,0.0,0.0,0.36568229166666666,0.0010416666666666667,0.0,0.0
8.5/154,8.5/154,6.0/200,3.0/235,4.5/220,4.5/220,10.0/81,7.0/168,1.0/271,2.0/263,400,5000,1000,I,0.0,0.0,0.0,2.448,3,detectable,0.0,0.0,0.3751875,0.0020833333333333333,0.0,0.0
8.5/129,8.5/129,7.0/134,5.0/146,3.5/148,3.5/148,10.0/83,6.0/139,1.0/190,2.0/186,400,5000,1000,I,0.0,0.0,0.0,2.189,3,detectable,0.0,0.0,0.387578125,0.005208333333333333,0.0,0.0
7.0/116,7.0/116,4.0/123,3.0/127,1.5/131,1.5/131,10.0/66,9.0/111,5.0/121,7.0/116,400,5000,1000,I,0.0,0.0,0.0,1.896,3,detectable,0.0,0.0,0.40624479166666666,0.004166666666666667,0.0,0.0
4.0/92,4.0/92,6.5/85,4.0/92,1.5/94,1.5/94,10.0/59,6.5/85,8.5/77,8.5/77,400,5000,1000,I,0.0,0.0,0.0,1.548,3,undetectable,0.0,0.0,0.42352604166666663,0.009375,0.0,0.0
2.5/70,2.5/70,1.0/73,7.0/65,4.5/67,4.5/67,10.0/48,6.0/66,8.0/58,9.0/55,400,5000,1000,I,0.0,0.0,0.0,1.095,3,undetectable,0.0,0.0,0.44940104166666667,0.015625,0.0,0.0
8.5/181,8.5/181,6.0/472,3.0/500,4.5/476,4.5/476,10.0/105,7.0/220,1.0/605,2.0/600,400,5000,1000,I,0.0,0.0,0.0,3.462,2,identifiable,0.0,0.0,0.391625,0.0010416666666666667,0.0,0.0
8.5/164,8.5/164,6.0/388,3.0/430,4.5/401,4.5/401,10.0/92,7.0/179,1.0/535,2.0/529,400,5000,1000,I,0.0,0.0,0.0,3.284,2,identifiable,0.0,0.0,0.39561458333333327,0.0,0.0,0.0
8.5/160,8.5/160,6.0/331,3.0/366,4.5/340,4.5/340,10.0/86,7.0/185,1.0/459,2.0/452,400,5000,1000,I,0.0,0.0,0.0,3.096,2,detectable,0.0,0.0,0.3965677083333333,0.0010416666666666667,0.0,0.0
8.0/145,8.0/145,6.0/258,3.0/301,4.5/275,4.5/275,10.0/73,8.0/145,1.0/371,2.0/366,400,5000,1000,I,0.0,0.0,0.0,2.896,2,detectable,0.0,0.0,0.39799999999999996,0.004166666666666667,0.0,0.0
8.5/132,8.5/132,6.0/212,3.0/234,4.5/216,4.5/216,10.0/83,7.0/143,1.0/285,2.0/279,400,5000,1000,I,0.0,0.0,0.0,2.681,2,detectable,0.0,0.0,0.40615104166666666,0.003125,0.0,0.0
8.5/112,8.5/112,6.0/144,3.0/163,4.5/156,4.5/156,10.0/69,7.0/118,1.0/194,2.0/189,400,5000,1000,I,0.0,0.0,0.0,2.448,2,detectable,0.0,0.0,0.40638541666666667,0.003125,0.0,0.0
7.5/102,7.5/102,6.0/120,3.0/139,4.5/128,4.5/128,10.0/63,9.0/97,1.0/148,2.0/142,400,5000,1000,I,0.0,0.0,0.0,2.189,2,detectable,0.0,0.0,0.42154166666666676,0.008333333333333333,0.0,0.0
6.5/92,6.5/92,9.0/87,5.0/93,2.5/97,2.5/97,10.0/55,8.0/89,1.0/98,4.0/94,400,5000,1000,I,0.0,0.0,0.0,1.896,2,undetectable,0.0,0.0,0.4304322916666667,0.009375,0.0,0.0
2.0/81,2.0/81,6.0/78,2.0/81,4.5/79,4.5/79,10.0/47,7.5/75,7.5/75,9.0/72,400,5000,1000,I,0.0,0.0,0.0,1.548,2,undetectable,0.0,0.0,0.443296875,0.011458333333333333,0.0,0.0
1.5/70,1.5/70,3.5/66,7.0/61,5.5/63,5.5/63,10.0/45,3.5/66,8.0/51,9.0/48,400,5000,1000,I,0.0,0.0,0.0,1.095,2,undetectable,0.0,0.0,0.45862499999999995,0.014583333333333334,0.0,0.0
8.5/103,8.5/103,4.0/264,3.0/280,5.5/258,5.5/258,10.0/69,7.0/125,1.0/375,2.0/372,400,5000,1000,I,0.0,0.0,0.0,3.462,1,identifiable,0.0,0.0,0.4355572916666667,0.00625,0.0,0.0
8.5/104,8.5/104,4.0/278,3.0/296,5.5/266,5.5/266,10.0/66,7.0/118,1.0/418,2.0/416,400,5000,1000,I,0.0,0.0,0.0,3.462,1,identifiable,0.0,0.0,0.43445833333333334,0.003125,0.0,0.0
8.5/102,8.5/102,4.0/264,3.0/273,5.5/248,5.5/248,10.0/56,7.0/109,1.0/388,2.0/386,400,5000,1000,I,0.0,0.0,0.0,3.462,1,undetectable,0.0,0.0,0.43477083333333333,0.004166666666666667,0.0,0.0
8.5/101,8.5/101,4.0/213,3.0/228,5.5/200,5.5/200,10.0/60,7.0/112,1.0/313,2.0/312,400,5000,1000,I,0.0,0.0,0.0,3.284,1,identifiable,0.0,0.0,0.4362291666666666,0.004166666666666667,0.0,0.0
8.5/106,8.5/106,4.0/209,3.0/222,5.5/200,5.5/200,10.0/58,7.0/107,1.5/326,1.5/326,400,5000,1000,I,0.0,0.0,0.0,3.284,1,detectable,0.0,0.0,0.4357604166666667,0.003125,0.0,0.0
8.5/95,8.5/95,4.0/240,3.0/262,5.5/229,5.5/229,10.0/63,7.0/105,1.0/331,2.0/327,400,5000,1000,I,0.0,0.0,0.0,3.284,1,undetectable,0.0,0.0,0.4346510416666666,0.005208333333333333,0.0,0.0
8.5/101,8.5/101,4.0/179,3.0/191,5.5/177,5.5/177,10.0/62,7.0/107,1.0/271,2.0/270,400,5000,1000,I,0.0,0.0,0.0,3.096,1,detectable,0.0,0.0,0.4376979166666667,0.00625,0.0,0.0
8.5/95,8.5/95,5.0/178,3.0/190,5.0/178,5.0/178,10.0/61,7.0/104,1.0/257,2.0/253,400,5000,1000,I,0.0,0.0,0.0,3.096,1,detectable,0.0,0.0,0.4379635416666667,0.005208333333333333,0.0,0.0
8.5/97,8.5/97,4.0/202,3.0/206,5.5/189,5.5/189,10.0/57,7.0/107,1.0/288,2.0/285,400,5000,1000,I,0.0,0.0,0.0,3.096,1,undetectable,0.0,0.0,0.43898958333333327,0.005208333333333333,0.0,0.0
8.5/87,8.5/87,4.0/140,3.0/151,5.5/139,5.5/139,10.0/62,7.0/93,1.0/205,2.0/201,400,5000,1000,I,0.0,0.0,0.0,2.896,1,detectable,0.0,0.0,0.4405208333333333,0.010416666666666666,0.0,0.0
8.5/90,8.5/90,4.0/123,3.0/127,5.5/119,5.5/119,10.0/58,7.0/95,1.0/184,2.0/181,400,5000,1000,I,0.0,0.0,0.0,2.896,1,detectable,0.0,0.0,0.4379895833333334,0.008333333333333333,0.0,0.0
7.5/98,7.5/98,4.0/147,3.0/168,5.5/144,5.5/144,10.0/56,9.0/95,1.0/216,2.0/211,400,5000,1000,I,0.0,0.0,0.0,2.896,1,undetectable,0.0,0.0,0.4405572916666667,0.007291666666666667,0.0,0.0
7.5/84,7.5/84,4.0/116,3.0/123,5.5/113,5.5/113,10.0/52,9.0/80,1.0/169,2.0/166,400,5000,1000,I,0.0,0.0,0.0,2.681,1,detectable,0.0,0.0,0.44072916666666667,0.004166666666666667,0.0,0.0
8.0/90,8.0/90,5.0/132,3.0/141,5.0/132,5.0/132,10.0/57,8.0/90,1.0/176,2.0/172,400,5000,1000,I,0.0,0.0,0.0,2.681,1,detectable,0.0,0.0,0.4418489583333333,0.010416666666666666,0.0,0.0
7.5/86,7.5/86,4.0/132,3.0/134,5.5/122,5.5/122,10.0/46,9.0/81,1.0/159,2.0/156,400,5000,1000,I,0.0,0.0,0.0,2.681,1,undetectable,0.0,0.0,0.4423697916666666,0.009375,0.0,0.0
8.5/84,8.5/84,3.0/104,4.0/103,5.5/98,5.5/98,10.0/46,7.0/87,1.0/121,2.0/118,400,5000,1000,I,0.0,0.0,0.0,2.448,1,detectable,0.0,0.0,0.4443958333333333,0.007291666666666667,0.0,0.0
7.5/92,7.5/92,4.0/106,3.0/107,5.5/105,5.5/105,10.0/58,9.0/80,1.0/123,2.0/120,400,5000,1000,I,0.0,0.0,0.0,2.448,1,undetectable,0.0,0.0,0.44455729166666663,0.013541666666666667,0.0,0.0
7.5/87,7.5/87,3.0/115,4.0/114,5.5/108,5.5/108,10.0/56,9.0/83,1.0/135,2.0/132,400,5000,1000,I,0.0,0.0,0.0,2.448,1,undetectable,0.0,0.0,0.44476041666666666,0.010416666666666666,0.0,0.0
7.5/84,7.5/84,3.0/93,5.0/88,5.0/88,5.0/88,10.0/55,9.0/78,1.0/104,2.0/103,400,5000,1000,I,0.0,0.0,0.0,2.189,1,undetectable,0.0,0.0,0.44894791666666667,0.0125,0.0,0.0
8.0/79,8.0/79,2.0/92,5.5/90,3.5/91,3.5/91,10.0/51,8.0/79,1.0/93,5.5/90,400,5000,1000,I,0.0,0.0,0.0,2.189,1,undetectable,0.0,0.0,0.45064583333333336,0.011458333333333333,0.0,0.0
7.5/83,7.5/83,5.0/86,3.0/88,5.0/86,5.0/86,10.0/50,9.0/73,1.0/100,2.0/95,400,5000,1000,I,0.0,0.0,0.0,2.189,1,undetectable,0.0,0.0,0.4473333333333334,0.0125,0.0,0.0
5.5/72,5.5/72,1.0/80,4.0/76,2.5/78,2.5/78,10.0/51,7.0/66,8.0/63,9.0/62,400,5000,1000,I,0.0,0.0,0.0,1.896,1,undetectable,0.0,0.0,0.4529166666666667,0.016666666666666666,0.0,0.0
6.0/76,6.0/76,1.0/81,4.0/78,2.5/79,2.5/79,10.0/52,9.0/66,6.0/76,8.0/72,400,5000,1000,I,0.0,0.0,0.0,1.896,1,undetectable,0.0,0.0,0.4549270833333333,0.009375,0.0,0.0
5.0/72,5.0/72,1.0/81,5.0/72,2.5/76,2.5/76,10.0/51,8.0/70,7.0/71,9.0/69,400,5000,1000,I,0.0,0.0,0.0,1.896,1,undetectable,0.0,0.0,0.4550260416666667,0.015625,0.0,0.0
3.5/70,3.5/70,1.0/71,7.0/67,3.5/70,3.5/70,10.0/46,6.0/69,8.0/62,9.0/60,400,5000,1000,I,0.0,0.0,0.0,1.548,1,undetectable,0.0,0.0,0.4609791666666666,0.015625,0.0,0.0
2.5/69,2.5/69,1.0/78,7.5/64,5.5/66,5.5/66,10.0/45,4.0/68,7.5/64,9.0/62,400,5000,1000,I,0.0,0.0,0.0,1.548,1,undetectable,0.0,0.0,0.45908333333333334,0.015625,0.0,0.0
3.5/65,3.5/65,1.0/68,6.5/63,3.5/65,3.5/65,10.0/47,6.5/63,8.0/55,9.0/53,400,5000,1000,I,0.0,0.0,0.0,1.548,1,undetectable,0.0,0.0,0.4619010416666666,0.0125,0.0,0.0
3.5/64,3.5/64,1.0/76,6.0/63,3.5/64,3.5/64,10.0/46,7.0/59,8.0/50,9.0/48,400,5000,1000,I,0.0,0.0,0.0,1.095,1,undetectable,0.0,0.0,0.46889583333333335,0.017708333333333333,0.0,0.0
2.5/64,2.5/64,1.0/66,5.0/61,5.0/61,5.0/61,9.5/45,7.0/57,8.0/47,9.5/45,400,5000,1000,I,0.0,0.0,0.0,1.095,1,undetectable,0.0,0.0,0.4680572916666667,0.016666666666666666,0.0,0.0
2.5/63,2.5/63,1.0/69,6.5/58,4.5/62,4.5/62,9.0/47,6.5/58,8.0/48,10.0/46,400,5000,1000,I,0.0,0.0,0.0,1.095,1,undetectable,0.0,0.0,0.46758333333333335,0.017708333333333333,0.0,0.0
4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,10.0/981,9.0/997,4.0/1000,8.0/998,400,5000,1000,norm_sig,0.01,0.06,0.61,3.462,20,identifiable,0.0,0.0,0.09171354166666665,0.0,0.0,0.0
5.0/998,6.0/997,2.5/1000,2.5/1000,2.5/1000,2.5/1000,10.0/951,8.0/990,7.0/994,9.0/988,400,5000,1000,norm_sig,0.01,0.06,0.61,3.284,20,identifiable,0.0,0.0,0.09226041666666666,0.0,0.0,0.0
3.0/998,3.0/998,6.0/996,3.0/998,5.0/997,1.0/1000,10.0/894,9.0/973,7.0/993,8.0/985,400,5000,1000,norm_sig,0.01,0.06,0.61,3.096,20,identifiable,0.0,0.0,0.09348437500000001,0.0,0.0,0.0
3.0/988,4.0/986,6.0/979,1.5/995,5.0/984,1.5/995,10.0/767,9.0/905,7.0/976,8.0/961,400,5000,1000,norm_sig,0.01,0.06,0.61,2.896,20,identifiable,0.0,0.0,0.09844791666666666,0.0,0.0,0.0
3.0/973,4.0/956,6.0/939,2.0/976,5.0/942,1.0/981,10.0/614,9.0/802,7.0/933,8.0/907,400,5000,1000,norm_sig,0.01,0.06,0.61,2.681,20,identifiable,0.0,0.0,0.10593229166666666,0.0,0.0,0.0
3.0/887,4.0/853,7.0/797,2.0/919,6.0/808,1.0/921,10.0/444,9.0/630,5.0/829,8.0/792,400,5000,1000,norm_sig,0.01,0.06,0.61,2.448,20,identifiable,0.0,0.0,0.11619791666666666,0.0,0.0,0.0
3.0/663,5.0/615,8.0/527,2.0/691,7.0/539,1.0/698,10.0/292,9.0/380,4.0/620,6.0/602,400,5000,1000,norm_sig,0.01,0.06,0.61,2.189,20,detectable,0.0,0.0,0.133109375,0.0,0.0,0.0
3.0/461,6.0/397,8.0/290,1.0/476,7.0/314,2.0/475,10.0/195,9.0/244,4.0/443,5.0/422,400,5000,1000,norm_sig,0.01,0.06,0.61,1.896,20,detectable,0.0,0.0,0.17367187500000003,0.0,0.0,0.0
1.0/248,6.0/209,8.0/156,3.0/235,7.0/168,2.0/246,10.0/129,9.0/142,4.0/223,5.0/214,400,5000,1000,norm_sig,0.01,0.06,0.61,1.548,20,detectable,0.0,0.0,0.24228125,0.0,0.0,0.0
4.0/97,6.0/93,10.0/78,5.0/95,7.0/88,3.0/102,9.0/80,8.0/84,1.0/122,2.0/119,400,5000,1000,norm_sig,0.01,0.06,0.61,1.095,20,detectable,0.0,0.0,0.37632291666666673,0.013541666666666667,0.0,0.0
