ghc,hc,bj,gbj,gnull,ggnull,cpma,score,fdr_ratio,minP,N,H0,H1,name,min_cor,avg_cor,max_cor,mu,eps,asymp,ghc-AvgFailPct,ghc-PctAllFail,gbj-AvgFailPct,gbj-PctAllFail,ggnull-AvgFailPct,ggnull-PctAllFail
5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,5.0/1000,10.0/998,400,5000,1000,I,0.0,0.0,0.0,3.462,20,identifiable,0.0,0.0,0.05268229166666667,0.0,0.0,0.0
5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,5.5/1000,400,5000,1000,I,0.0,0.0,0.0,3.284,20,identifiable,0.0,0.0,0.05297916666666667,0.0,0.0,0.0
4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,4.0/1000,9.0/996,4.0/1000,8.0/997,10.0/995,400,5000,1000,I,0.0,0.0,0.0,3.096,20,identifiable,0.0,0.0,0.05486979166666666,0.0,0.0,0.0
1.5/1000,1.5/1000,5.0/998,5.0/998,5.0/998,5.0/998,8.0/995,5.0/998,9.0/989,10.0/977,400,5000,1000,I,0.0,0.0,0.0,2.896,20,identifiable,0.0,0.0,0.05216666666666667,0.0,0.0,0.0
6.0/995,6.0/995,2.5/997,2.5/997,2.5/997,2.5/997,8.0/979,6.0/995,9.0/959,10.0/936,400,5000,1000,I,0.0,0.0,0.0,2.681,20,identifiable,0.0,0.0,0.05944270833333334,0.0,0.0,0.0
5.5/981,5.5/981,7.0/980,3.0/985,1.5/988,1.5/988,8.0/932,4.0/984,9.0/857,10.0/832,400,5000,1000,I,0.0,0.0,0.0,2.448,20,identifiable,0.0,0.0,0.063546875,0.0,0.0,0.0
5.5/903,5.5/903,7.0/901,1.0/925,3.5/919,3.5/919,8.0/792,2.0/920,9.0/701,10.0/663,400,5000,1000,I,0.0,0.0,0.0,2.189,20,detectable,0.0,0.0,0.07726041666666668,0.0,0.0,0.0
5.5/730,5.5/730,7.0/710,4.0/753,2.5/760,2.5/760,8.0/591,1.0/780,9.0/472,10.0/448,400,5000,1000,I,0.0,0.0,0.0,1.896,20,detectable,0.0,0.0,0.11046354166666666,0.0,0.0,0.0
5.5/440,5.5/440,7.0/387,4.0/453,2.5/466,2.5/466,8.0/317,1.0/520,9.0/250,10.0/238,400,5000,1000,I,0.0,0.0,0.0,1.548,20,detectable,0.0,0.0,0.16106770833333334,0.0010416666666666667,0.0,0.0
5.5/193,5.5/193,7.0/164,4.0/198,2.5/203,2.5/203,8.0/118,1.0/205,9.0/105,10.0/102,400,5000,1000,I,0.0,0.0,0.0,1.095,20,detectable,0.0,0.0,0.27152604166666666,0.0,0.0,0.0
6.5/998,6.5/998,2.5/1000,2.5/1000,2.5/1000,2.5/1000,10.0/987,6.5/998,6.5/998,9.0/996,400,5000,1000,I,0.0,0.0,0.0,3.462,14,identifiable,0.0,0.0,0.104984375,0.0,0.0,0.0
6.5/998,6.5/998,3.0/1000,3.0/1000,3.0/1000,3.0/1000,10.0/985,3.0/1000,8.0/992,9.0/991,400,5000,1000,I,0.0,0.0,0.0,3.284,14,identifiable,0.0,0.0,0.10447916666666668,0.0,0.0,0.0
6.5/993,6.5/993,2.5/997,2.5/997,2.5/997,2.5/997,10.0/945,5.0/994,8.0/982,9.0/973,400,5000,1000,I,0.0,0.0,0.0,3.096,14,identifiable,0.0,0.0,0.11068229166666667,0.0,0.0,0.0
5.5/982,5.5/982,4.0/991,2.0/992,2.0/992,2.0/992,10.0/903,7.0/978,8.0/956,9.0/939,400,5000,1000,I,0.0,0.0,0.0,2.896,14,identifiable,0.0,0.0,0.11294791666666668,0.0,0.0,0.0
6.5/954,6.5/954,4.0/976,2.0/982,2.0/982,2.0/982,10.0/817,5.0/958,8.0/908,9.0/877,400,5000,1000,I,0.0,0.0,0.0,2.681,14,identifiable,0.0,0.0,0.11533333333333333,0.0,0.0,0.0
6.0/870,6.0/870,4.0/877,1.0/898,2.5/895,2.5/895,10.0/668,6.0/870,8.0/738,9.0/709,400,5000,1000,I,0.0,0.0,0.0,2.448,14,detectable,0.0,0.0,0.12868749999999998,0.0,0.0,0.0
5.5/701,5.5/701,7.0/694,3.0/746,1.5/750,1.5/750,9.0/503,4.0/740,8.0/526,10.0/497,400,5000,1000,I,0.0,0.0,0.0,2.189,14,detectable,0.0,0.0,0.14604166666666665,0.0,0.0,0.0
5.5/489,5.5/489,7.0/446,2.0/518,3.5/516,3.5/516,10.0/338,1.0/543,8.0/371,9.0/354,400,5000,1000,I,0.0,0.0,0.0,1.896,14,detectable,0.0,0.0,0.17350520833333333,0.0,0.0,0.0
5.5/285,5.5/285,7.0/251,4.0/290,2.5/296,2.5/296,10.0/187,1.0/322,8.0/202,9.0/189,400,5000,1000,I,0.0,0.0,0.0,1.548,14,detectable,0.0,0.0,0.23370833333333332,0.0010416666666666667,0.0,0.0
4.5/131,4.5/131,7.0/113,6.0/130,2.5/135,2.5/135,8.0/87,1.0/156,9.0/81,10.0/79,400,5000,1000,I,0.0,0.0,0.0,1.095,14,detectable,0.0,0.0,0.3309375,0.005208333333333333,0.0,0.0
8.5/973,8.5/973,2.5/997,2.5/997,2.5/997,2.5/997,10.0/895,7.0/983,5.0/994,6.0/992,400,5000,1000,I,0.0,0.0,0.0,3.462,10,identifiable,0.0,0.0,0.16386458333333334,0.0,0.0,0.0
8.5/964,8.5/964,4.0/988,1.0/991,2.5/990,2.5/990,10.0/848,7.0/969,5.0/986,6.0/980,400,5000,1000,I,0.0,0.0,0.0,3.284,10,identifiable,0.0,0.0,0.16401041666666666,0.0,0.0,0.0
6.5/940,6.5/940,4.0/983,1.0/988,2.5/985,2.5/985,10.0/752,9.0/925,5.0/950,8.0/933,400,5000,1000,I,0.0,0.0,0.0,3.096,10,identifiable,0.0,0.0,0.16824999999999998,0.0,0.0,0.0
6.5/869,6.5/869,4.0/934,1.0/956,2.5/945,2.5/945,10.0/663,9.0/861,5.0/884,8.0/863,400,5000,1000,I,0.0,0.0,0.0,2.896,10,identifiable,0.0,0.0,0.17461979166666666,0.0,0.0,0.0
