q	0.025	0.975	ELL	CPMA	sumZ^2	FDR	minP
0.01	0.0	0.023333333333333334	0.4867	0.9167	0.78	0.01	0.01
0.001	0.0	0.006666666666666667	0.0	0.0333	0.0133	0.0033	0.0033
