N,H0,H1,min_cor,avg_cor,max_cor,ghc,hc,bj,gbj,gnull,ggnull,cpma,score,fdr_ratio,minP,asymp,name,ghc-AvgFailPct,ghc-PctAllFail,gbj-AvgFailPct,gbj-PctAllFail,ggnull-AvgFailPct,ggnull-PctAllFail
400,5000,500,0.0,0.0,0.0,3.073634860392867,3.073634860392868,4.472441493397518,4.109857187061655,-0.0032063371135435323,-0.0032063371134183013,,446.30003587541427,19.81329338527153,8.965390732152454,detectable,I,0.0,0.0,0.4772576121794873,0.025440705128205128,0.0,0.0
400,5000,500,0.01,0.06,0.59,2.957544283767544,4.181392973204988,7.824782368350513,3.232322619936865,-8.743498942024688e-05,-0.005051855733464023,,497.0030921548166,21.31734841639232,9.010072842999012,detectable,norm_sig,0.0,0.0,0.5498197115384615,0.06650641025641026,0.0,0.0
400,5000,500,0.0,0.02,0.45,3.0813253545975408,3.2580735280704136,5.105503235313093,3.7701391420055392,-0.0020758705383920125,-0.003243341947257657,,452.7481048934758,20.78284831184829,8.965889525578444,detectable,norm_sig,0.0,0.0,0.4873778044871794,0.029246794871794875,0.0,0.0
400,5000,500,0.0,0.0,0.24,3.0597423730607134,3.0727151369323216,4.548855408756915,3.968527484450453,-0.003077470374912711,-0.003247989108608996,,446.42132994079947,19.945270398792644,8.963298527757871,detectable,norm_sig,0.0,0.0,0.4779336939102565,0.022636217948717948,0.0,0.0
200,5000,500,-0.69,0.0,0.77,2.8836001663390096,4.796544794409107,9.737805153488871,3.4449536572652435,-2.4469157728367157e-05,-0.008950753976137836,,281.0228706287557,19.222469689875027,8.178464683047636,detectable,rat,0.0,0.0,0.5085496794871794,0.14963942307692307,0.0,0.0
