q	0.025	0.975	ELL-MC	CPMA	sumZ^2	FDR	minP
0.01	0.004	0.017	0.666	0.012	0.012	1.0	0.619
0.001	0.0	0.003	0.0	0.0	0.0	0.003	0.003
