q	0.025	0.975	ELL	cpma	score	storey	minP	markov
0.01	0.005	0.015833333333333335	0.7642	0.0558	0.0542	0.0125	0.0133	1.0
0.001	0.0	0.0033333333333333335	0.0192	0.0042	0.0042	0.0008	0.0008	0.3358
