eps,mu,Type,power,r
5,2.667,ggnull0,280.0,9-11
5,2.222,hcFull,180.0,1-3
5,2.222,fdr,180.0,1-3
5,2.222,fdr0,180.0,1-3
5,2.222,ggnull,100.0,14-17
5,2.222,gnull,100.0,14-17
5,2.222,gnull0,100.0,14-17
5,2.222,ggnull0,100.0,14-17
5,2.222,minP,170.0,4-5
5,2.222,minP0,170.0,4-5
5,2.222,bj,120.0,6-7
5,2.222,bj0,120.0,6-7
5,2.222,ghc,110.0,8-13
5,2.222,hc,110.0,8-13
5,2.222,score,110.0,8-13
5,2.222,hc0,110.0,8-13
5,2.222,ghc0,110.0,8-13
5,2.222,score0,110.0,8-13
5,2.778,hcFull,570.0,1
5,2.778,score,260.0,12-13
5,2.778,score0,260.0,12-13
5,2.778,ghc,220.0,14-17
5,2.778,hc,220.0,14-17
5,2.778,hc0,220.0,14-17
5,2.778,ghc0,220.0,14-17
5,2.778,fdr,510.0,2-3
5,2.778,fdr0,510.0,2-3
5,2.778,minP,500.0,4-5
5,2.778,minP0,500.0,4-5
5,2.778,bj,360.0,6-7
5,2.778,bj0,360.0,6-7
5,2.778,ggnull,320.0,8
5,2.778,gnull,310.0,9-11
5,2.778,gnull0,310.0,9-11
5,2.778,ggnull0,310.0,9-11
5,2.111,hcFull,290.0,1
5,2.111,bj,140.0,12-13
5,2.111,bj0,140.0,12-13
5,2.111,ggnull,110.0,14
5,2.111,gnull,100.0,15-17
5,2.111,gnull0,100.0,15-17
5,2.111,ggnull0,100.0,15-17
5,2.111,fdr,260.0,2-3
5,2.111,fdr0,260.0,2-3
5,2.111,minP,230.0,4-5
5,2.111,minP0,230.0,4-5
5,2.111,ghc,150.0,6-11
5,2.111,hc,150.0,6-11
5,2.111,score,150.0,6-11
5,2.111,hc0,150.0,6-11
5,2.111,ghc0,150.0,6-11
5,2.111,score0,150.0,6-11
5,2.889,hcFull,560.0,1
5,2.889,ghc,340.0,12-15
5,2.889,hc,340.0,12-15
5,2.889,hc0,340.0,12-15
5,2.889,ghc0,340.0,12-15
5,2.889,score,300.0,16-17
5,2.889,score0,300.0,16-17
5,2.889,fdr,520.0,2-3
5,2.889,fdr0,520.0,2-3
5,2.889,minP,510.0,4-5
5,2.889,minP0,510.0,4-5
5,2.889,bj,430.0,6-7
5,2.889,bj0,430.0,6-7
5,2.889,ggnull,360.0,8
5,2.889,gnull,350.0,9-11
5,2.889,gnull0,350.0,9-11
5,2.889,ggnull0,350.0,9-11
5,2.0,hcFull,150.0,1
5,2.0,ghc,60.0,10-13
5,2.0,hc,60.0,10-13
5,2.0,hc0,60.0,10-13
5,2.0,ghc0,60.0,10-13
5,2.0,ggnull,30.0,14-17
5,2.0,gnull,30.0,14-17
5,2.0,gnull0,30.0,14-17
5,2.0,ggnull0,30.0,14-17
5,2.0,minP,140.0,2-5
5,2.0,fdr,140.0,2-5
5,2.0,minP0,140.0,2-5
5,2.0,fdr0,140.0,2-5
5,2.0,score,90.0,6-7
5,2.0,score0,90.0,6-7
5,2.0,bj,70.0,8-9
5,2.0,bj0,70.0,8-9
5,3.0,hcFull,620.0,1
5,3.0,score,370.0,12-13
5,3.0,score0,370.0,12-13
5,3.0,ghc,350.0,14-17
5,3.0,hc,350.0,14-17
5,3.0,hc0,350.0,14-17
5,3.0,ghc0,350.0,14-17
5,3.0,fdr,610.0,2-3
5,3.0,fdr0,610.0,2-3
5,3.0,minP,570.0,4-5
5,3.0,minP0,570.0,4-5
5,3.0,bj,520.0,6-7
5,3.0,bj0,520.0,6-7
