q	0.025	0.975	ELL	CPMA	sumZ^2	FDR	minP
0.01	0.0	0.023333333333333334	1.0	0.0133	0.0133	0.9967	0.0067
0.001	0.0	0.006666666666666667	0.0	0.0	0.0	0.0	0.0
