q	0.025	0.975	ELL	cpma	score	storey	minP	markov
0.01	0.004	0.017	0.739	0.047	0.047	0.006	0.006	1.0
0.001	0.0	0.003	0.017	0.005	0.005	0.001	0.001	0.295
