eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
12,2.28,ggnull,0,0
12,2.52,ggnull,0,0
9,2.28,ggnull,0,0
9,2.52,ggnull,0,0
12,2.04,ggnull,0,0
12,2.76,ggnull,0,0
9,2.04,ggnull,0,0
9,2.76,ggnull,0,0
12,1.8,ggnull,0,0
12,3.0,ggnull,0,0
9,3.0,ggnull,0,0
16,2.28,ggnull,0,0
16,2.52,ggnull,0,0
16,2.04,ggnull,0,0
16,2.76,ggnull,0,0
5,2.28,ggnull,0,0
5,2.52,ggnull,0,0
5,2.76,ggnull,0,0
16,1.8,ggnull,0,0
16,3.0,ggnull,0,0
5,3.0,ggnull,0,0
2,2.52,ggnull,0,0
2,2.76,ggnull,0,0
2,3.0,ggnull,0,0
20,2.28,ggnull,0,0
20,2.52,ggnull,0,0
20,2.04,ggnull,0,0
20,2.76,ggnull,0,0
20,1.8,ggnull,0,0
20,3.0,ggnull,0,0
