eps,mu,Type,power,r
0,0.0,hc,52.06666666666666,1
0,0.0,bj,51.03333333333333,2
0,0.0,score,50.233333333333334,3
0,0.0,gnull,49.56666666666667,4
0,0.0,ghc,49.3,5
0,0.0,fdr,48.5,6
0,0.0,minP,48.36666666666667,7
0,0.0,ghcFull,48.16666666666667,8
0,0.0,ggnull,47.43333333333334,9
12,2.444,ggnull,448.4666666666667,1
12,2.444,ghcFull,395.4,2
12,2.444,gnull,376.90000000000003,3
12,2.444,ghc,374.16666666666663,4
12,2.444,fdr,360.46666666666664,5
12,2.444,hc,356.3666666666667,6
12,2.444,minP,351.46666666666664,7
12,2.444,bj,330.23333333333335,8
12,2.444,score,252.7,9
12,2.556,ggnull,532.2333333333333,1
12,2.556,ghcFull,474.1333333333333,2
12,2.556,gnull,452.53333333333336,3
12,2.556,ghc,444.56666666666666,4
12,2.556,fdr,431.1333333333333,5
12,2.556,hc,418.6333333333334,6
12,2.556,minP,418.0333333333333,7
12,2.556,bj,409.3666666666667,8
12,2.556,score,277.9,9
14,2.444,ggnull,513.9333333333334,1
14,2.444,gnull,450.56666666666666,2
14,2.444,ghc,450.1333333333333,3
14,2.444,ghcFull,447.53333333333336,4
14,2.444,hc,432.46666666666664,5
14,2.444,fdr,403.8333333333333,6
14,2.444,bj,399.03333333333336,7
14,2.444,minP,391.56666666666666,8
14,2.444,score,305.93333333333334,9
14,2.556,ggnull,603.9666666666667,1
14,2.556,gnull,535.5666666666666,2
14,2.556,ghcFull,533.7666666666667,3
14,2.556,ghc,526.2333333333333,4
14,2.556,hc,507.6,5
14,2.556,bj,488.0333333333333,6
14,2.556,fdr,480.1666666666667,7
14,2.556,minP,465.1666666666667,8
14,2.556,score,334.9666666666667,9
12,2.333,ggnull,370.83333333333337,1
12,2.333,ghcFull,326.9666666666667,2
12,2.333,ghc,312.59999999999997,3
12,2.333,gnull,312.16666666666663,4
12,2.333,hc,300.20000000000005,5
12,2.333,fdr,297.93333333333334,6
12,2.333,minP,290.6333333333334,7
12,2.333,bj,268.29999999999995,8
12,2.333,score,219.36666666666665,9
12,2.667,ggnull,618.1,1
12,2.667,ghcFull,555.6999999999999,2
12,2.667,gnull,531.5,3
12,2.667,ghc,519.6333333333333,4
12,2.667,fdr,507.16666666666663,5
12,2.667,hc,493.59999999999997,6
12,2.667,minP,492.0333333333333,7
12,2.667,bj,489.43333333333334,8
12,2.667,score,313.6333333333333,9
14,2.333,ggnull,432.06666666666666,1
14,2.333,gnull,378.0,2
14,2.333,ghc,376.0,3
14,2.333,ghcFull,371.8666666666667,4
14,2.333,hc,367.83333333333337,5
14,2.333,fdr,336.03333333333336,6
14,2.333,bj,328.9666666666667,7
14,2.333,minP,327.8333333333333,8
14,2.333,score,265.79999999999995,9
14,2.667,ggnull,693.9333333333333,1
14,2.667,gnull,628.4666666666666,2
14,2.667,ghcFull,621.0666666666666,3
14,2.667,ghc,610.2333333333333,4
14,2.667,hc,588.3000000000001,5
14,2.667,bj,585.4333333333334,6
14,2.667,fdr,562.6,7
14,2.667,minP,542.8333333333333,8
14,2.667,score,382.16666666666663,9
12,2.222,ggnull,307.40000000000003,1
12,2.222,ghcFull,272.26666666666665,2
12,2.222,gnull,261.8333333333333,3
12,2.222,ghc,259.83333333333337,4
12,2.222,hc,252.76666666666665,5
12,2.222,fdr,250.06666666666666,6
12,2.222,minP,244.36666666666667,7
