eps,mu,Type,power,r
0,0.0,score,53.53333333333334,1
0,0.0,bj,53.233333333333334,2
0,0.0,gnull,53.199999999999996,3
0,0.0,hc,52.900000000000006,4
0,0.0,ggnull,50.86666666666667,5
0,0.0,ghcFull,50.56666666666667,6
0,0.0,fdr,50.03333333333333,7
0,0.0,minP,49.8,8
0,0.0,ghc,49.733333333333334,9
10,2.444,ggnull,414.0333333333333,1
10,2.444,ghcFull,371.8666666666667,2
10,2.444,fdr,340.43333333333334,3
10,2.444,gnull,334.6666666666667,4
10,2.444,minP,332.4,5
10,2.444,ghc,329.9666666666667,6
10,2.444,hc,309.66666666666663,7
10,2.444,bj,295.26666666666665,8
10,2.444,score,230.03333333333333,9
10,2.556,ggnull,492.3666666666667,1
10,2.556,ghcFull,443.26666666666665,2
10,2.556,fdr,405.06666666666666,3
10,2.556,gnull,397.76666666666665,4
10,2.556,minP,396.23333333333335,5
10,2.556,ghc,391.6666666666667,6
10,2.556,hc,361.9,7-8
10,2.556,bj,361.9,7-8
10,2.556,score,253.23333333333332,9
12,2.444,ggnull,488.2666666666667,1
12,2.444,ghcFull,428.0,2
12,2.444,gnull,408.6666666666667,3
12,2.444,ghc,404.5,4
12,2.444,fdr,387.8333333333333,5
12,2.444,hc,384.03333333333336,6
12,2.444,minP,377.40000000000003,7
12,2.444,bj,363.3666666666667,8
12,2.444,score,281.76666666666665,9
12,2.556,ggnull,569.4666666666667,1
12,2.556,ghcFull,505.46666666666664,2
12,2.556,gnull,490.3,3
12,2.556,ghc,481.3333333333333,4
12,2.556,fdr,456.43333333333334,5
12,2.556,hc,456.2,6
12,2.556,bj,448.03333333333336,7
12,2.556,minP,442.66666666666663,8
12,2.556,score,321.2333333333333,9
10,2.333,ggnull,346.3666666666667,1
10,2.333,ghcFull,309.59999999999997,2
10,2.333,fdr,281.93333333333334,3
10,2.333,ghc,280.1666666666667,4
10,2.333,gnull,276.93333333333334,5
10,2.333,minP,276.0,6
10,2.333,hc,265.2,7
10,2.333,bj,239.6,8
10,2.333,score,205.4,9
10,2.667,ggnull,572.9333333333333,1
10,2.667,ghcFull,518.5999999999999,2
10,2.667,gnull,473.1,3
10,2.667,fdr,472.7,4
10,2.667,minP,460.3666666666667,5
10,2.667,ghc,452.8333333333333,6
10,2.667,bj,434.2,7
10,2.667,hc,423.09999999999997,8
10,2.667,score,281.46666666666664,9
12,2.333,ggnull,395.06666666666666,1
12,2.333,ghcFull,345.43333333333334,2
12,2.333,ghc,338.03333333333336,3
12,2.333,gnull,336.2,4
12,2.333,hc,325.03333333333336,5
12,2.333,fdr,316.26666666666665,6
12,2.333,minP,308.40000000000003,7
12,2.333,bj,293.1666666666667,8
12,2.333,score,252.96666666666667,9
12,2.667,ggnull,663.5333333333333,1
12,2.667,ghcFull,597.5333333333334,2
12,2.667,gnull,578.0333333333333,3
12,2.667,ghc,559.3666666666667,4
12,2.667,fdr,543.5333333333333,5
12,2.667,bj,536.6333333333333,6
12,2.667,hc,533.0333333333333,7
12,2.667,minP,527.5666666666666,8
12,2.667,score,354.93333333333334,9
10,2.222,ggnull,281.23333333333335,1
10,2.222,ghcFull,247.93333333333334,2
10,2.222,ghc,230.23333333333335,3
10,2.222,fdr,228.6,4
10,2.222,gnull,227.73333333333335,5
10,2.222,minP,224.0,6
10,2.222,hc,218.70000000000002,7
10,2.222,bj,192.66666666666669,8
10,2.222,score,184.13333333333335,9
10,2.778,ggnull,661.3,1
10,2.778,ghcFull,600.9333333333333,2
10,2.778,gnull,557.6333333333333,3
10,2.778,fdr,551.3000000000001,4
10,2.778,minP,535.9666666666667,5
10,2.778,ghc,532.9333333333334,6
10,2.778,bj,521.7333333333333,7
10,2.778,hc,490.8,8
10,2.778,score,310.2666666666667,9
12,2.222,ggnull,330.73333333333335,1
12,2.222,ghcFull,288.3,2
12,2.222,gnull,283.6,3
12,2.222,ghc,283.23333333333335,4
12,2.222,hc,276.9666666666667,5
12,2.222,fdr,264.26666666666665,6
12,2.222,minP,257.9666666666667,7
12,2.222,bj,242.4,8
12,2.222,score,226.06666666666666,9
12,2.778,ggnull,742.5666666666667,1
12,2.778,ghcFull,674.4666666666667,2
12,2.778,gnull,659.5999999999999,3
12,2.778,ghc,639.4333333333333,4
12,2.778,bj,621.0,5
12,2.778,fdr,613.1999999999999,6
12,2.778,hc,605.9333333333333,7
12,2.778,minP,593.8,8
12,2.778,score,394.73333333333335,9
10,2.111,ggnull,228.86666666666667,1
10,2.111,ghcFull,203.26666666666668,2
10,2.111,ghc,194.26666666666668,3
10,2.111,gnull,193.3,4
10,2.111,hc,190.4,5
10,2.111,fdr,189.93333333333334,6
10,2.111,minP,186.83333333333331,7
10,2.111,score,165.46666666666667,8
10,2.111,bj,158.33333333333331,9
8,2.0,hc,1.0,1-8
8,2.0,gnull,1.0,1-8
8,2.0,bj,1.0,1-8
8,2.0,fdr,1.0,1-8
8,2.0,minP,1.0,1-8
8,2.0,score,1.0,1-8
8,2.0,ggnull,1.0,1-8
8,2.0,ghc,1.0,1-8
6,2.0,hc,1.0,1-8
6,2.0,gnull,1.0,1-8
6,2.0,bj,1.0,1-8
6,2.0,fdr,1.0,1-8
6,2.0,minP,1.0,1-8
6,2.0,score,1.0,1-8
6,2.0,ggnull,1.0,1-8
6,2.0,ghc,1.0,1-8
4,2.0,hc,1.0,1-8
4,2.0,gnull,1.0,1-8
4,2.0,bj,1.0,1-8
4,2.0,fdr,1.0,1-8
4,2.0,minP,1.0,1-8
4,2.0,score,1.0,1-8
4,2.0,ggnull,1.0,1-8
4,2.0,ghc,1.0,1-8
2,2.0,hc,1.0,1-8
2,2.0,gnull,1.0,1-8
2,2.0,bj,1.0,1-8
2,2.0,fdr,1.0,1-8
2,2.0,minP,1.0,1-8
2,2.0,score,1.0,1-8
2,2.0,ggnull,1.0,1-8
2,2.0,ghc,1.0,1-8
10,2.889,ggnull,734.6,1
10,2.889,ghcFull,675.6333333333333,2
10,2.889,gnull,634.8000000000001,3
10,2.889,fdr,621.5,4
10,2.889,minP,605.0333333333333,5
10,2.889,bj,602.1666666666666,6
10,2.889,ghc,598.5666666666667,7
10,2.889,hc,555.2,8
10,2.889,score,346.6666666666667,9
12,2.111,ggnull,268.76666666666665,1
12,2.111,ghcFull,236.46666666666667,2
12,2.111,gnull,233.53333333333333,3
12,2.111,hc,232.9,4
12,2.111,ghc,230.9,5
12,2.111,fdr,217.0,6
12,2.111,minP,212.23333333333332,7
12,2.111,score,199.36666666666667,8
12,2.111,bj,194.70000000000002,9
12,2.889,ggnull,814.6333333333333,1
12,2.889,ghcFull,751.4666666666666,2
12,2.889,gnull,739.7333333333333,3
12,2.889,ghc,714.6666666666666,4
12,2.889,bj,708.2,5
12,2.889,fdr,693.7666666666667,6
12,2.889,hc,682.0333333333334,7
12,2.889,minP,673.4666666666667,8
12,2.889,score,435.3,9
10,2.0,ggnull,186.03333333333333,1
10,2.0,ghcFull,169.53333333333333,2
10,2.0,gnull,165.76666666666668,3
10,2.0,ghc,161.86666666666665,4
10,2.0,hc,161.66666666666666,5
10,2.0,fdr,159.8,6
10,2.0,minP,157.46666666666667,7
10,2.0,score,150.53333333333333,8
10,2.0,bj,132.86666666666667,9
10,3.0,ggnull,804.2333333333333,1
10,3.0,ghcFull,751.4333333333333,2
10,3.0,gnull,709.0333333333333,3
10,3.0,fdr,698.6999999999999,4
10,3.0,bj,681.5666666666666,5
10,3.0,minP,680.3000000000001,6
10,3.0,ghc,668.8333333333333,7
10,3.0,hc,627.9,8
10,3.0,score,380.03333333333336,9
12,2.0,ggnull,216.6,1
12,2.0,hc,195.03333333333333,2
12,2.0,gnull,192.86666666666665,3
12,2.0,ghc,190.13333333333333,4
12,2.0,ghcFull,188.5,5
12,2.0,score,175.66666666666666,6
12,2.0,fdr,174.4,7
12,2.0,minP,171.43333333333334,8
12,2.0,bj,157.0,9
12,3.0,ggnull,877.9,1
12,3.0,ghcFull,823.5666666666667,2
12,3.0,gnull,816.7666666666667,3
12,3.0,bj,794.7666666666667,4
12,3.0,ghc,779.9000000000001,5
12,3.0,fdr,766.2,6
12,3.0,hc,747.5666666666667,7
12,3.0,minP,744.6333333333333,8
12,3.0,score,482.8666666666667,9
8,2.444,ggnull,343.8333333333333,1
8,2.444,ghcFull,314.16666666666663,2
8,2.444,fdr,292.3,3
8,2.444,minP,286.5333333333333,4
8,2.444,gnull,260.90000000000003,5
8,2.444,ghc,255.46666666666667,6
8,2.444,hc,239.0666666666667,7
8,2.444,bj,229.46666666666667,8
8,2.444,score,177.0666666666667,9
8,2.556,ggnull,410.73333333333335,1
8,2.556,ghcFull,373.0333333333333,2
8,2.556,fdr,346.76666666666665,3
8,2.556,minP,339.26666666666665,4
8,2.556,gnull,313.43333333333334,5
8,2.556,ghc,306.3666666666667,6
8,2.556,bj,280.26666666666665,7
8,2.556,hc,275.76666666666665,8
8,2.556,score,198.23333333333335,9
14,2.444,ggnull,548.8,1
14,2.444,ghc,486.73333333333335,2
14,2.444,gnull,486.3,3
14,2.444,ghcFull,475.43333333333334,4
14,2.444,hc,471.3666666666667,5
14,2.444,bj,438.3666666666667,6
14,2.444,fdr,426.43333333333334,7
14,2.444,minP,412.23333333333335,8
14,2.444,score,344.06666666666666,9
14,2.556,ggnull,640.2,1
14,2.556,gnull,571.8666666666667,2
14,2.556,ghc,566.7333333333333,3
14,2.556,ghcFull,564.9333333333333,4
14,2.556,hc,546.8666666666666,5
14,2.556,bj,525.3666666666667,6
14,2.556,fdr,507.3333333333333,7
14,2.556,minP,491.16666666666663,8
14,2.556,score,383.06666666666666,9
8,2.333,ggnull,281.73333333333335,1
8,2.333,ghcFull,254.80000000000004,2
8,2.333,fdr,237.6,3
8,2.333,minP,232.4,4
8,2.333,gnull,222.03333333333333,5
8,2.333,ghc,217.93333333333334,6
8,2.333,hc,206.26666666666665,7
8,2.333,bj,189.46666666666667,8
8,2.333,score,165.8,9
8,2.667,ggnull,478.76666666666665,1
8,2.667,ghcFull,437.33333333333337,2
8,2.667,fdr,405.7,3
8,2.667,minP,397.03333333333336,4
8,2.667,gnull,368.16666666666663,5
8,2.667,ghc,352.6333333333333,6
8,2.667,bj,335.2,7
8,2.667,hc,324.3666666666667,8
8,2.667,score,217.29999999999998,9
14,2.333,ggnull,462.1333333333333,1
14,2.333,ghc,406.8,2
14,2.333,gnull,404.1333333333333,3
14,2.333,ghcFull,398.53333333333336,4
14,2.333,hc,396.8666666666666,5
14,2.333,fdr,356.23333333333335,6
14,2.333,bj,356.0,7
14,2.333,minP,346.1333333333333,8
14,2.333,score,306.90000000000003,9
14,2.667,ggnull,729.6,1
14,2.667,gnull,670.5666666666666,2
14,2.667,ghcFull,653.5333333333333,3
14,2.667,ghc,650.4333333333333,4
14,2.667,hc,632.9666666666667,5
14,2.667,bj,629.5666666666667,6
14,2.667,fdr,590.5333333333333,7
14,2.667,minP,571.7666666666667,8
14,2.667,score,437.43333333333334,9
8,2.222,ggnull,238.93333333333334,1
8,2.222,ghcFull,218.13333333333335,2
8,2.222,fdr,202.5,3
8,2.222,minP,198.1,4
8,2.222,gnull,185.53333333333333,5
8,2.222,ghc,183.76666666666665,6
8,2.222,hc,177.7,7
8,2.222,bj,158.29999999999998,8
8,2.222,score,149.53333333333333,9
6,2.111,hc,1.0,1-8
6,2.111,gnull,1.0,1-8
6,2.111,bj,1.0,1-8
6,2.111,fdr,1.0,1-8
6,2.111,minP,1.0,1-8
6,2.111,score,1.0,1-8
6,2.111,ggnull,1.0,1-8
6,2.111,ghc,1.0,1-8
4,2.111,hc,1.0,1-8
4,2.111,gnull,1.0,1-8
4,2.111,bj,1.0,1-8
