eps,mu,Type,power,r
0,0.0,ggnull,50.9,1
0,0.0,fdr,50.06666666666667,2
0,0.0,ghc,49.96666666666667,3
0,0.0,ghcFull,49.833333333333336,4
0,0.0,minP,49.766666666666666,5
0,0.0,gnull,48.800000000000004,6
0,0.0,bj,48.43333333333334,7
0,0.0,score,48.36666666666667,8
0,0.0,hc,47.4,9
15,2.444,ggnull,488.59999999999997,1
15,2.444,ghcFull,426.2666666666667,2
15,2.444,ghc,423.46666666666664,3
15,2.444,gnull,418.2,4
15,2.444,hc,406.3666666666667,5
15,2.444,fdr,385.6333333333333,6
15,2.444,minP,374.16666666666663,7
15,2.444,bj,372.16666666666663,8
15,2.444,score,272.6333333333333,9
15,2.556,ggnull,582.0999999999999,1
15,2.556,ghc,510.26666666666665,2
15,2.556,ghcFull,507.6333333333334,3
15,2.556,gnull,502.4333333333333,4
15,2.556,hc,481.6666666666667,5
15,2.556,fdr,459.9666666666667,6
15,2.556,bj,458.6666666666667,7
15,2.556,minP,445.7,8
15,2.556,score,303.8666666666667,9
19,2.444,ggnull,597.6666666666666,1
19,2.444,ghc,552.8333333333333,2
19,2.444,gnull,549.0666666666667,3
19,2.444,hc,542.6,4
19,2.444,ghcFull,510.6333333333334,5
19,2.444,bj,494.66666666666663,6
19,2.444,fdr,454.9666666666667,7
19,2.444,minP,439.5333333333333,8
19,2.444,score,369.06666666666666,9
19,2.556,ggnull,690.6999999999999,1
19,2.556,gnull,645.4,2
19,2.556,ghc,643.0,3
19,2.556,hc,629.1999999999999,4
19,2.556,ghcFull,601.4000000000001,5
19,2.556,bj,596.5,6
19,2.556,fdr,535.6666666666666,7
19,2.556,minP,516.5333333333333,8
19,2.556,score,411.0333333333333,9
15,2.333,ggnull,402.3,1
15,2.333,ghc,350.4,2
15,2.333,ghcFull,348.5,3
15,2.333,gnull,344.6,4
15,2.333,hc,337.6,5
15,2.333,fdr,316.56666666666666,6
15,2.333,minP,308.3,7
15,2.333,bj,299.0,8
15,2.333,score,240.93333333333334,9
15,2.667,ggnull,669.5666666666666,1
15,2.667,ghc,596.2333333333332,2
15,2.667,ghcFull,594.5,3
15,2.667,gnull,590.8,4
15,2.667,hc,567.9333333333333,5
15,2.667,bj,545.8,6
15,2.667,fdr,537.5,7
15,2.667,minP,522.3333333333334,8
15,2.667,score,341.6333333333333,9
19,2.333,ggnull,497.0333333333333,1
19,2.333,gnull,452.76666666666665,2
19,2.333,ghc,452.03333333333336,3
19,2.333,hc,445.7,4
19,2.333,ghcFull,423.09999999999997,5
19,2.333,bj,400.2,6
19,2.333,fdr,378.40000000000003,7
19,2.333,minP,366.3666666666667,8
19,2.333,score,323.90000000000003,9
19,2.667,ggnull,785.4666666666667,1
19,2.667,gnull,741.8666666666667,2
19,2.667,ghc,735.6333333333333,3
19,2.667,hc,722.6666666666666,4
19,2.667,bj,701.7333333333333,5
19,2.667,ghcFull,700.7,6
19,2.667,fdr,630.9,7
19,2.667,minP,607.6,8
19,2.667,score,466.7,9
15,2.222,ggnull,322.56666666666666,1
15,2.222,ghc,285.26666666666665,2
15,2.222,gnull,283.9,3
15,2.222,ghcFull,283.3666666666667,4
15,2.222,hc,276.1333333333333,5
15,2.222,fdr,261.76666666666665,6
15,2.222,minP,256.1,7
15,2.222,bj,239.53333333333333,8
15,2.222,score,213.83333333333331,9
15,2.778,ggnull,758.3333333333333,1
15,2.778,gnull,686.2,2
15,2.778,ghcFull,682.0666666666667,3
15,2.778,ghc,677.2,4
15,2.778,hc,647.3,5
15,2.778,bj,647.2,6
15,2.778,fdr,618.9333333333333,7
15,2.778,minP,598.2333333333332,8
15,2.778,score,378.0,9
19,2.222,ggnull,407.0,1
19,2.222,gnull,379.06666666666666,2
19,2.222,hc,377.7333333333333,3
19,2.222,ghc,377.59999999999997,4
19,2.222,ghcFull,345.23333333333335,5
19,2.222,bj,322.40000000000003,6
19,2.222,fdr,310.4666666666667,7
19,2.222,minP,301.46666666666664,8
19,2.222,score,284.6666666666667,9
19,2.778,ggnull,857.8,1
19,2.778,gnull,823.0666666666666,2
19,2.778,ghc,814.1666666666667,3
19,2.778,hc,801.4666666666667,4
19,2.778,bj,792.3333333333334,5
19,2.778,ghcFull,782.2,6
19,2.778,fdr,707.3000000000001,7
19,2.778,minP,682.3666666666667,8
19,2.778,score,520.7333333333333,9
22,2.889,hc,1000.0,1-8
22,2.889,gnull,1000.0,1-8
22,2.889,bj,1000.0,1-8
22,2.889,fdr,1000.0,1-8
22,2.889,minP,1000.0,1-8
22,2.889,score,1000.0,1-8
22,2.889,ggnull,1000.0,1-8
22,2.889,ghc,1000.0,1-8
22,3.0,hc,1000.0,1-8
22,3.0,gnull,1000.0,1-8
22,3.0,bj,1000.0,1-8
22,3.0,fdr,1000.0,1-8
22,3.0,minP,1000.0,1-8
22,3.0,score,1000.0,1-8
22,3.0,ggnull,1000.0,1-8
22,3.0,ghc,1000.0,1-8
25,2.889,hc,1000.0,1-8
25,2.889,gnull,1000.0,1-8
25,2.889,bj,1000.0,1-8
25,2.889,fdr,1000.0,1-8
25,2.889,minP,1000.0,1-8
25,2.889,score,1000.0,1-8
25,2.889,ggnull,1000.0,1-8
25,2.889,ghc,1000.0,1-8
25,3.0,hc,1000.0,1-8
25,3.0,gnull,1000.0,1-8
25,3.0,bj,1000.0,1-8
25,3.0,fdr,1000.0,1-8
25,3.0,minP,1000.0,1-8
25,3.0,score,1000.0,1-8
25,3.0,ggnull,1000.0,1-8
25,3.0,ghc,1000.0,1-8
29,2.889,hc,1000.0,1-8
29,2.889,gnull,1000.0,1-8
29,2.889,bj,1000.0,1-8
29,2.889,fdr,1000.0,1-8
29,2.889,minP,1000.0,1-8
29,2.889,score,1000.0,1-8
29,2.889,ggnull,1000.0,1-8
29,2.889,ghc,1000.0,1-8
29,3.0,hc,1000.0,1-8
29,3.0,gnull,1000.0,1-8
29,3.0,bj,1000.0,1-8
29,3.0,fdr,1000.0,1-8
29,3.0,minP,1000.0,1-8
29,3.0,score,1000.0,1-8
29,3.0,ggnull,1000.0,1-8
29,3.0,ghc,1000.0,1-8
32,2.889,hc,1000.0,1-8
32,2.889,gnull,1000.0,1-8
32,2.889,bj,1000.0,1-8
32,2.889,fdr,1000.0,1-8
32,2.889,minP,1000.0,1-8
32,2.889,score,1000.0,1-8
32,2.889,ggnull,1000.0,1-8
32,2.889,ghc,1000.0,1-8
32,3.0,hc,1000.0,1-8
32,3.0,gnull,1000.0,1-8
32,3.0,bj,1000.0,1-8
32,3.0,fdr,1000.0,1-8
32,3.0,minP,1000.0,1-8
