eps,mu,Type,power,r
0,0.0,ghc,53.400000000000006,1
0,0.0,score,52.46666666666667,2
0,0.0,ghcFull,51.93333333333333,3
0,0.0,fdr,50.5,4
0,0.0,ggnull,50.06666666666667,5
0,0.0,minP,49.833333333333336,6
0,0.0,gnull,49.56666666666667,7
0,0.0,hc,49.23333333333333,8
0,0.0,bj,48.333333333333336,9
14,2.444,ggnull,485.23333333333335,1
14,2.444,ghcFull,427.09999999999997,2
14,2.444,ghc,424.4,3
14,2.444,gnull,414.76666666666665,4
14,2.444,hc,399.53333333333336,5
14,2.444,fdr,385.6333333333333,6
14,2.444,minP,374.43333333333334,7
14,2.444,bj,365.66666666666663,8
14,2.444,score,275.3,9
14,2.556,ggnull,567.2,1
14,2.556,ghc,503.8666666666667,2
14,2.556,ghcFull,502.3333333333333,3
14,2.556,gnull,494.0333333333333,4
14,2.556,hc,472.4,5
14,2.556,fdr,454.4666666666667,6
14,2.556,bj,445.29999999999995,7
14,2.556,minP,441.0,8
14,2.556,score,310.56666666666666,9
16,2.444,ggnull,539.1333333333333,1
16,2.444,ghc,492.23333333333335,2
16,2.444,gnull,482.20000000000005,3
16,2.444,ghcFull,471.3666666666667,4
16,2.444,hc,467.0,5
16,2.444,bj,428.23333333333335,6
16,2.444,fdr,423.8,7
16,2.444,minP,410.06666666666666,8
16,2.444,score,323.8666666666667,9
16,2.556,ggnull,635.2666666666667,1
16,2.556,ghc,574.3666666666667,2
16,2.556,gnull,574.0666666666666,3
16,2.556,ghcFull,560.4333333333334,4
16,2.556,hc,552.4333333333333,5
16,2.556,bj,523.1333333333333,6
16,2.556,fdr,505.2,7
16,2.556,minP,488.7666666666667,8
16,2.556,score,364.4,9
14,2.333,ggnull,397.4666666666667,1
14,2.333,ghc,350.5333333333333,2
14,2.333,ghcFull,347.06666666666666,3
14,2.333,gnull,345.6,4
14,2.333,hc,335.03333333333336,5
14,2.333,fdr,315.5,6
14,2.333,minP,308.1333333333333,7
14,2.333,bj,295.1333333333334,8
14,2.333,score,244.43333333333334,9
14,2.667,ggnull,663.1666666666666,1
14,2.667,ghcFull,595.7333333333333,2
14,2.667,ghc,587.4666666666667,3
14,2.667,gnull,585.5,4
14,2.667,hc,550.9666666666667,5
14,2.667,fdr,540.1,6
14,2.667,bj,538.6333333333333,7
14,2.667,minP,523.8333333333334,8
14,2.667,score,343.6666666666667,9
16,2.333,ggnull,448.43333333333334,1
16,2.333,ghc,408.03333333333336,2
16,2.333,gnull,400.06666666666666,3
16,2.333,hc,394.06666666666666,4
16,2.333,ghcFull,388.90000000000003,5
16,2.333,fdr,353.9,6
16,2.333,bj,344.0,7
16,2.333,minP,343.93333333333334,8
16,2.333,score,286.3666666666667,9
16,2.667,ggnull,728.8,1
16,2.667,ghc,666.8666666666667,2
16,2.667,gnull,664.3,3
16,2.667,ghcFull,655.0,4
16,2.667,hc,635.6666666666667,5
16,2.667,bj,619.3666666666667,6
16,2.667,fdr,590.0333333333333,7
16,2.667,minP,570.4,8
16,2.667,score,409.93333333333334,9
14,2.222,ggnull,327.76666666666665,1
14,2.222,ghc,290.43333333333334,2
14,2.222,ghcFull,289.96666666666664,3
14,2.222,gnull,281.03333333333336,4
14,2.222,hc,277.23333333333335,5
14,2.222,fdr,263.5,6
14,2.222,minP,256.6333333333333,7
14,2.222,bj,234.06666666666666,8
14,2.222,score,216.79999999999998,9
14,2.778,ggnull,746.1999999999999,1
14,2.778,ghcFull,682.4,2
14,2.778,gnull,679.7333333333333,3
14,2.778,ghc,667.7666666666667,4
14,2.778,bj,636.3666666666667,5
14,2.778,hc,631.3666666666667,6
14,2.778,fdr,618.4,7
14,2.778,minP,599.4666666666667,8
14,2.778,score,383.9666666666667,9
16,2.222,ggnull,365.66666666666663,1
16,2.222,ghc,333.53333333333336,2
16,2.222,gnull,329.0,3
16,2.222,hc,325.2,4
16,2.222,ghcFull,318.0,5
16,2.222,fdr,290.46666666666664,6
16,2.222,minP,283.6,7
16,2.222,bj,276.7,8
16,2.222,score,251.33333333333334,9
16,2.778,ggnull,808.8,1
16,2.778,gnull,753.3666666666667,2
16,2.778,ghc,747.9333333333334,3
16,2.778,ghcFull,738.3333333333333,4
16,2.778,hc,722.2333333333332,5
16,2.778,bj,714.8333333333334,6
16,2.778,fdr,669.9333333333334,7
16,2.778,minP,647.9333333333334,8
16,2.778,score,455.6,9
14,2.111,ggnull,265.3333333333333,1
14,2.111,ghc,237.63333333333333,2
14,2.111,gnull,233.2,3
14,2.111,ghcFull,232.46666666666667,4
14,2.111,hc,231.36666666666667,5
14,2.111,fdr,215.73333333333332,6
14,2.111,minP,211.86666666666667,7
14,2.111,score,192.8,8
14,2.111,bj,187.56666666666666,9
14,2.889,ggnull,825.5666666666667,1
14,2.889,ghcFull,762.5,2
14,2.889,gnull,760.3666666666667,3
14,2.889,ghc,742.7333333333333,4
14,2.889,bj,724.6,5
14,2.889,hc,711.0,6
14,2.889,fdr,698.8333333333333,7
14,2.889,minP,677.0,8
14,2.889,score,427.4,9
16,2.111,ggnull,300.70000000000005,1
16,2.111,ghc,274.1666666666667,2
16,2.111,gnull,272.4666666666667,3
16,2.111,hc,271.8666666666666,4
16,2.111,ghcFull,263.1666666666667,5
16,2.111,fdr,241.26666666666665,6
16,2.111,minP,235.53333333333333,7
16,2.111,score,224.26666666666668,8
16,2.111,bj,222.5,9
16,2.889,ggnull,875.7333333333333,1
16,2.889,gnull,832.7,2
16,2.889,ghc,821.1666666666667,3
16,2.889,ghcFull,813.3000000000001,4
16,2.889,bj,803.0,5
16,2.889,hc,795.3666666666667,6
16,2.889,fdr,745.0,7
16,2.889,minP,720.1666666666666,8
16,2.889,score,501.2,9
19,3.0,hc,1000.0,1-8
19,3.0,gnull,1000.0,1-8
