eps,mu,Type,power,r
0,0.0,minP,49.733333333333334,1
0,0.0,bj,49.56666666666667,2
0,0.0,ghcFull,49.36666666666667,3
0,0.0,fdr,49.333333333333336,4
0,0.0,gnull,48.96666666666667,5
0,0.0,ggnull,48.599999999999994,6
0,0.0,score,47.66666666666667,7
0,0.0,hc,47.5,8
0,0.0,ghc,45.766666666666666,9
5,2.444,ggnull,408.46666666666664,1
5,2.444,ghcFull,384.66666666666663,2
5,2.444,fdr,359.20000000000005,3
5,2.444,minP,350.1333333333333,4
5,2.444,gnull,324.76666666666665,5
5,2.444,bj,296.76666666666665,6
5,2.444,ghc,269.5,7
5,2.444,hc,255.13333333333333,8
5,2.444,score,251.43333333333334,9
5,2.556,ggnull,468.4,1
5,2.556,ghcFull,448.8333333333333,2
5,2.556,fdr,417.8666666666667,3
5,2.556,minP,408.3333333333333,4
5,2.556,gnull,375.43333333333334,5
5,2.556,bj,348.3,6
5,2.556,ghc,307.43333333333334,7
5,2.556,score,286.8,8
5,2.556,hc,283.93333333333334,9
5,2.333,ggnull,351.1333333333333,1
5,2.333,ghcFull,334.8,2
5,2.333,fdr,310.9666666666667,3
5,2.333,minP,304.73333333333335,4
5,2.333,gnull,279.7,5
5,2.333,bj,249.93333333333334,6
5,2.333,ghc,239.73333333333332,7
5,2.333,hc,224.13333333333333,8
5,2.333,score,223.76666666666668,9
5,2.667,ggnull,545.0333333333334,1
5,2.667,ghcFull,520.4333333333333,2
5,2.667,fdr,488.23333333333335,3
5,2.667,minP,477.0,4
5,2.667,gnull,444.43333333333334,5
5,2.667,bj,416.26666666666665,6
5,2.667,ghc,349.9,7
5,2.667,hc,323.56666666666666,8
5,2.667,score,318.66666666666663,9
5,2.222,ggnull,297.09999999999997,1
5,2.222,ghcFull,281.46666666666664,2
5,2.222,fdr,260.76666666666665,3
5,2.222,minP,256.6,4
5,2.222,gnull,239.5,5
5,2.222,bj,213.33333333333334,6
5,2.222,ghc,207.03333333333336,7
5,2.222,score,201.96666666666667,8
5,2.222,hc,198.3,9
5,2.778,ggnull,610.4000000000001,1
5,2.778,ghcFull,590.1333333333333,2
5,2.778,fdr,555.7333333333333,3
5,2.778,minP,544.1666666666667,4
5,2.778,gnull,502.4333333333333,5
5,2.778,bj,479.1,6
5,2.778,ghc,392.93333333333334,7
5,2.778,hc,358.3333333333333,8
5,2.778,score,351.3666666666667,9
5,2.111,ggnull,246.60000000000002,1
5,2.111,ghcFull,233.63333333333333,2
5,2.111,fdr,219.79999999999998,3
5,2.111,minP,216.03333333333333,4
5,2.111,gnull,200.7,5
5,2.111,score,181.43333333333334,6
5,2.111,ghc,180.03333333333333,7
5,2.111,hc,176.4,8
5,2.111,bj,173.26666666666668,9
4,2.0,hc,1.0,1-8
4,2.0,gnull,1.0,1-8
4,2.0,bj,1.0,1-8
4,2.0,fdr,1.0,1-8
4,2.0,minP,1.0,1-8
4,2.0,score,1.0,1-8
4,2.0,ggnull,1.0,1-8
4,2.0,ghc,1.0,1-8
3,2.0,hc,1.0,1-8
3,2.0,gnull,1.0,1-8
3,2.0,bj,1.0,1-8
3,2.0,fdr,1.0,1-8
3,2.0,minP,1.0,1-8
3,2.0,score,1.0,1-8
3,2.0,ggnull,1.0,1-8
3,2.0,ghc,1.0,1-8
2,2.0,hc,1.0,1-8
2,2.0,gnull,1.0,1-8
2,2.0,bj,1.0,1-8
2,2.0,fdr,1.0,1-8
2,2.0,minP,1.0,1-8
2,2.0,score,1.0,1-8
2,2.0,ggnull,1.0,1-8
2,2.0,ghc,1.0,1-8
5,2.889,ggnull,671.0666666666667,1
5,2.889,ghcFull,649.2666666666667,2
5,2.889,fdr,608.7,3
5,2.889,minP,596.2333333333332,4
5,2.889,gnull,566.1,5
5,2.889,bj,542.1333333333333,6
5,2.889,ghc,434.56666666666666,7
5,2.889,hc,398.4333333333333,8
5,2.889,score,385.33333333333337,9
5,2.0,ggnull,211.16666666666666,1
5,2.0,ghcFull,195.76666666666668,2
5,2.0,fdr,184.23333333333332,3
5,2.0,minP,180.7,4
5,2.0,gnull,175.93333333333334,5
5,2.0,score,165.9,6
5,2.0,ghc,159.96666666666667,7
5,2.0,hc,158.79999999999998,8
5,2.0,bj,150.86666666666667,9
5,3.0,ggnull,741.7,1
5,3.0,ghcFull,719.7666666666667,2
5,3.0,fdr,678.7333333333333,3
5,3.0,minP,664.5666666666666,4
5,3.0,gnull,638.7333333333333,5
5,3.0,bj,618.3,6
5,3.0,ghc,477.1333333333333,7
5,3.0,hc,435.33333333333337,8
5,3.0,score,430.33333333333337,9
4,2.444,ggnull,330.2,1
4,2.444,ghcFull,323.7,2
4,2.444,fdr,305.06666666666666,3
4,2.444,minP,299.4,4
4,2.444,gnull,255.66666666666666,5
4,2.444,bj,234.6,6
4,2.444,ghc,206.1,7
4,2.444,score,196.9333333333333,8
4,2.444,hc,194.43333333333334,9
4,2.556,ggnull,384.93333333333334,1
4,2.556,ghcFull,375.40000000000003,2
4,2.556,fdr,356.23333333333335,3
4,2.556,minP,350.0666666666667,4
4,2.556,gnull,295.56666666666666,5
4,2.556,bj,272.8666666666667,6
4,2.556,ghc,233.7,7
4,2.556,hc,218.06666666666666,8
4,2.556,score,217.53333333333333,9
6,2.444,ggnull,480.5,1
6,2.444,ghcFull,447.5,2
6,2.444,fdr,411.3,3
6,2.444,minP,400.5,4
6,2.444,gnull,391.0,5
6,2.444,bj,359.3333333333333,6
6,2.444,ghc,333.4,7
6,2.444,score,314.16666666666663,8
6,2.444,hc,313.8,9
6,2.556,ggnull,552.3000000000001,1
6,2.556,ghcFull,517.0666666666667,2
6,2.556,fdr,477.43333333333334,3
6,2.556,minP,467.0,4
6,2.556,gnull,460.2,5
6,2.556,bj,430.0333333333333,6
6,2.556,ghc,386.03333333333336,7
6,2.556,hc,362.93333333333334,8
6,2.556,score,355.46666666666664,9
4,2.333,ggnull,281.8333333333333,1
4,2.333,ghcFull,274.6,2
4,2.333,fdr,259.06666666666666,3
4,2.333,minP,254.9,4
4,2.333,gnull,222.03333333333333,5
4,2.333,bj,199.76666666666668,6
4,2.333,ghc,185.70000000000002,7
4,2.333,score,181.33333333333334,8
4,2.333,hc,178.33333333333334,9
4,2.667,ggnull,442.3666666666667,1
4,2.667,ghcFull,433.8666666666667,2
4,2.667,fdr,410.56666666666666,3
4,2.667,minP,401.8333333333333,4
4,2.667,gnull,342.7,5
4,2.667,bj,319.53333333333336,6
4,2.667,ghc,261.6666666666667,7
4,2.667,score,240.43333333333334,8
4,2.667,hc,239.6,9
6,2.333,ggnull,417.23333333333335,1
6,2.333,ghcFull,382.2,2
6,2.333,fdr,350.7,3
6,2.333,minP,342.56666666666666,4
6,2.333,gnull,340.8,5
6,2.333,bj,309.5333333333333,6
6,2.333,ghc,299.0,7
6,2.333,hc,284.73333333333335,8
6,2.333,score,284.6,9
6,2.667,ggnull,621.1,1
