eps,mu,Type,power,r
0,0.0,gnull,52.06666666666666,1
0,0.0,score,51.333333333333336,2
0,0.0,hc,50.13333333333333,3
0,0.0,ghcFull,50.06666666666667,4
0,0.0,bj,50.03333333333333,5
0,0.0,ghc,49.53333333333333,6
0,0.0,fdr,48.9,7
0,0.0,minP,48.599999999999994,8
0,0.0,ggnull,47.93333333333334,9
9,2.444,ggnull,536.3,1
9,2.444,ghcFull,476.3333333333333,2
9,2.444,gnull,448.7,3
9,2.444,fdr,434.0,4
9,2.444,ghc,428.73333333333335,5
9,2.444,minP,422.5,6
9,2.444,bj,412.3,7
9,2.444,hc,396.26666666666665,8
9,2.444,score,339.7,9
9,2.556,ggnull,619.5666666666667,1
9,2.556,ghcFull,558.5,2
9,2.556,gnull,526.4333333333333,3
9,2.556,fdr,512.1333333333333,4
9,2.556,minP,498.33333333333337,5
9,2.556,ghc,494.59999999999997,6
9,2.556,bj,489.6333333333333,7
9,2.556,hc,455.0,8
9,2.556,score,385.43333333333334,9
10,2.444,ggnull,589.9333333333333,1
10,2.444,ghcFull,523.3,2
10,2.444,gnull,509.5666666666666,3
10,2.444,ghc,488.43333333333334,4
10,2.444,fdr,470.96666666666664,5
10,2.444,bj,467.7,6
10,2.444,minP,457.6666666666667,7
10,2.444,hc,455.23333333333335,8
10,2.444,score,396.56666666666666,9
10,2.556,ggnull,672.3666666666667,1
10,2.556,ghcFull,603.4666666666667,2
10,2.556,gnull,585.4,3
10,2.556,ghc,562.6999999999999,4
10,2.556,bj,549.4666666666667,5
10,2.556,fdr,544.5333333333333,6
10,2.556,minP,529.3,7
10,2.556,hc,522.7666666666668,8
10,2.556,score,444.5,9
9,2.333,ggnull,458.93333333333334,1
9,2.333,ghcFull,409.56666666666666,2
9,2.333,gnull,381.79999999999995,3
9,2.333,fdr,373.1333333333333,4
9,2.333,ghc,371.33333333333337,5
9,2.333,minP,362.6333333333333,6
9,2.333,bj,345.26666666666665,7
9,2.333,hc,341.7,8
9,2.333,score,299.6333333333333,9
9,2.667,ggnull,702.2,1
9,2.667,ghcFull,638.6333333333334,2
9,2.667,gnull,604.8666666666667,3
9,2.667,fdr,584.5666666666667,4
9,2.667,bj,571.3666666666667,5
9,2.667,ghc,567.8666666666667,6
9,2.667,minP,567.4,7
9,2.667,hc,521.8666666666667,8
9,2.667,score,429.06666666666666,9
10,2.333,ggnull,499.43333333333334,1
10,2.333,ghcFull,437.7,2
10,2.333,gnull,428.46666666666664,3
10,2.333,ghc,415.06666666666666,4
10,2.333,fdr,397.73333333333335,5
10,2.333,minP,387.5,6
10,2.333,hc,387.06666666666666,7
10,2.333,bj,386.93333333333334,8
10,2.333,score,350.7,9
10,2.667,ggnull,750.0666666666666,1
10,2.667,ghcFull,680.9333333333333,2
10,2.667,gnull,668.5,3
10,2.667,ghc,634.4,4
10,2.667,bj,633.3,5
10,2.667,fdr,622.1999999999999,6
10,2.667,minP,603.8,7
10,2.667,hc,594.3000000000001,8
10,2.667,score,490.09999999999997,9
9,2.222,ggnull,395.23333333333335,1
9,2.222,ghcFull,347.0,2
9,2.222,gnull,328.29999999999995,3
9,2.222,ghc,318.7,4
9,2.222,fdr,316.0,5
9,2.222,minP,308.5,6
9,2.222,hc,296.1333333333334,7
9,2.222,bj,288.23333333333335,8
9,2.222,score,276.0,9
9,2.778,ggnull,772.1333333333333,1
9,2.778,ghcFull,713.5666666666667,2
9,2.778,gnull,685.0333333333334,3
9,2.778,bj,655.4,4
9,2.778,fdr,653.6666666666666,5
9,2.778,minP,635.6,6
9,2.778,ghc,635.2666666666667,7
9,2.778,hc,588.6666666666666,8
9,2.778,score,475.6,9
10,2.222,ggnull,423.7666666666667,1
10,2.222,ghcFull,371.3,2
10,2.222,gnull,364.7666666666667,3
10,2.222,ghc,356.1333333333334,4
10,2.222,hc,336.6333333333333,5
10,2.222,fdr,333.9,6
10,2.222,minP,325.5,7
10,2.222,bj,323.3333333333333,8
10,2.222,score,305.73333333333335,9
10,2.778,ggnull,820.2,1
10,2.778,ghcFull,760.3666666666667,2
10,2.778,gnull,746.4333333333333,3
10,2.778,bj,717.4333333333334,4
10,2.778,ghc,706.0333333333333,5
10,2.778,fdr,699.2333333333333,6
10,2.778,minP,678.3333333333334,7
10,2.778,hc,665.0333333333334,8
10,2.778,score,547.5,9
9,2.111,ggnull,320.33333333333337,1
9,2.111,ghcFull,280.3,2
9,2.111,gnull,270.53333333333336,3
9,2.111,ghc,267.5,4
9,2.111,fdr,257.33333333333337,5
9,2.111,minP,253.0,6
9,2.111,hc,252.53333333333333,7
9,2.111,score,238.93333333333334,8
9,2.111,bj,232.9,9
9,2.889,ggnull,837.7333333333333,1
9,2.889,ghcFull,785.8000000000001,2
9,2.889,gnull,756.7666666666667,3
9,2.889,bj,732.1999999999999,4
9,2.889,fdr,730.2666666666667,5
9,2.889,minP,711.1666666666666,6
9,2.889,ghc,700.0999999999999,7
9,2.889,hc,653.6666666666666,8
9,2.889,score,533.5333333333333,9
10,2.111,ggnull,358.4,1
10,2.111,ghcFull,310.16666666666663,2
10,2.111,gnull,306.09999999999997,3
10,2.111,ghc,299.5333333333333,4
10,2.111,hc,282.03333333333336,5
10,2.111,fdr,281.93333333333334,6
10,2.111,minP,273.8333333333333,7
10,2.111,score,268.43333333333334,8
10,2.111,bj,265.56666666666666,9
10,2.889,ggnull,875.7333333333333,1
10,2.889,ghcFull,824.5666666666667,2
10,2.889,gnull,814.8333333333333,3
10,2.889,bj,791.5333333333333,4
10,2.889,ghc,767.0666666666667,5
10,2.889,fdr,765.2,6
10,2.889,minP,743.6,7
10,2.889,hc,727.9666666666667,8
10,2.889,score,601.0,9
12,3.0,hc,1000.0,1-8
12,3.0,gnull,1000.0,1-8
12,3.0,bj,1000.0,1-8
12,3.0,fdr,1000.0,1-8
12,3.0,minP,1000.0,1-8
12,3.0,score,1000.0,1-8
12,3.0,ggnull,1000.0,1-8
12,3.0,ghc,1000.0,1-8
14,3.0,hc,1000.0,1-8
14,3.0,gnull,1000.0,1-8
14,3.0,bj,1000.0,1-8
14,3.0,fdr,1000.0,1-8
14,3.0,minP,1000.0,1-8
14,3.0,score,1000.0,1-8
14,3.0,ggnull,1000.0,1-8
14,3.0,ghc,1000.0,1-8
15,3.0,hc,1000.0,1-8
15,3.0,gnull,1000.0,1-8
15,3.0,bj,1000.0,1-8
15,3.0,fdr,1000.0,1-8
15,3.0,minP,1000.0,1-8
15,3.0,score,1000.0,1-8
15,3.0,ggnull,1000.0,1-8
15,3.0,ghc,1000.0,1-8
17,3.0,hc,1000.0,1-8
17,3.0,gnull,1000.0,1-8
17,3.0,bj,1000.0,1-8
17,3.0,fdr,1000.0,1-8
17,3.0,minP,1000.0,1-8
17,3.0,score,1000.0,1-8
17,3.0,ggnull,1000.0,1-8
17,3.0,ghc,1000.0,1-8
9,2.0,ggnull,261.79999999999995,1
9,2.0,ghcFull,231.13333333333333,2
9,2.0,gnull,225.63333333333333,3
9,2.0,ghc,222.06666666666666,4
9,2.0,hc,213.7,5-6
9,2.0,fdr,213.7,5-6
9,2.0,score,211.76666666666665,7
9,2.0,minP,209.13333333333333,8
9,2.0,bj,189.29999999999998,9
9,3.0,ggnull,889.3666666666667,1
9,3.0,ghcFull,847.5333333333334,2
9,3.0,gnull,824.0666666666666,3
9,3.0,bj,804.4,4
9,3.0,fdr,795.6333333333333,5
9,3.0,minP,775.2666666666667,6
9,3.0,ghc,757.9666666666667,7
9,3.0,hc,712.5,8
9,3.0,score,581.3666666666667,9
10,2.0,ggnull,288.8333333333333,1
10,2.0,gnull,252.43333333333334,2
10,2.0,ghcFull,250.26666666666668,3
10,2.0,ghc,248.70000000000002,4
10,2.0,hc,239.93333333333334,5
10,2.0,score,235.23333333333332,6
10,2.0,fdr,229.36666666666667,7
10,2.0,minP,224.1,8
10,2.0,bj,213.63333333333335,9
10,3.0,ggnull,922.5666666666666,1
10,3.0,ghcFull,881.3,2
10,3.0,gnull,873.7,3
10,3.0,bj,856.1333333333333,4
10,3.0,fdr,827.4,5
10,3.0,ghc,818.6333333333333,6
10,3.0,minP,806.1666666666667,7
10,3.0,hc,786.0333333333334,8
10,3.0,score,656.1,9
7,2.444,ggnull,432.33333333333337,1
7,2.444,ghcFull,394.53333333333336,2
7,2.444,fdr,364.7666666666667,3
7,2.444,minP,356.70000000000005,4
7,2.444,gnull,341.2,5
7,2.444,ghc,321.03333333333336,6
7,2.444,bj,308.90000000000003,7
7,2.444,hc,288.96666666666664,8
7,2.444,score,251.7,9
7,2.556,ggnull,502.9666666666667,1
7,2.556,ghcFull,462.3666666666667,2
7,2.556,fdr,428.0333333333333,3
7,2.556,minP,417.0333333333333,4
7,2.556,gnull,398.3,5
7,2.556,ghc,369.40000000000003,6
7,2.556,bj,367.5333333333333,7
7,2.556,hc,327.0,8
7,2.556,score,279.43333333333334,9
12,2.444,ggnull,678.8666666666667,1
12,2.444,gnull,610.0666666666666,2
12,2.444,ghcFull,598.4666666666667,3
12,2.444,ghc,593.5333333333333,4
12,2.444,bj,568.7666666666667,5
12,2.444,hc,563.4666666666667,6
12,2.444,fdr,535.9666666666667,7
12,2.444,minP,519.2,8
12,2.444,score,494.7,9
12,2.556,ggnull,761.6666666666667,1
12,2.556,gnull,697.4,2
12,2.556,ghcFull,684.9666666666666,3
12,2.556,ghc,673.3666666666667,4
12,2.556,bj,659.4666666666667,5
12,2.556,hc,639.8333333333334,6
12,2.556,fdr,613.5333333333334,7
12,2.556,minP,593.8,8
12,2.556,score,554.9333333333333,9
7,2.333,ggnull,363.0333333333333,1
7,2.333,ghcFull,330.1333333333333,2
7,2.333,fdr,304.06666666666666,3
7,2.333,minP,298.09999999999997,4
7,2.333,gnull,288.6666666666667,5
7,2.333,ghc,274.1666666666667,6
7,2.333,bj,257.9666666666667,7
7,2.333,hc,246.96666666666667,8
7,2.333,score,221.8,9
7,2.667,ggnull,579.2,1
7,2.667,ghcFull,535.1,2
7,2.667,fdr,491.93333333333334,3
7,2.667,minP,479.0,4
7,2.667,gnull,467.43333333333334,5
7,2.667,bj,438.16666666666663,6
7,2.667,ghc,425.06666666666666,7
7,2.667,hc,377.2333333333333,8
7,2.667,score,312.2,9
12,2.333,ggnull,587.7333333333333,1
12,2.333,gnull,525.3333333333334,2
12,2.333,ghcFull,509.6000000000001,3
12,2.333,ghc,509.49999999999994,4
12,2.333,hc,486.8333333333333,5
12,2.333,bj,480.73333333333335,6
12,2.333,fdr,453.6666666666667,7
12,2.333,minP,439.83333333333337,8
12,2.333,score,437.40000000000003,9
12,2.667,ggnull,832.9666666666666,1
12,2.667,gnull,770.9333333333334,2
12,2.667,ghcFull,760.7,3
12,2.667,ghc,744.1999999999999,4
12,2.667,bj,741.9666666666667,5
12,2.667,hc,713.0999999999999,6
12,2.667,fdr,692.4666666666667,7
12,2.667,minP,671.4,8
12,2.667,score,609.2333333333333,9
7,2.222,ggnull,306.33333333333337,1
7,2.222,ghcFull,281.0,2
7,2.222,fdr,259.6333333333333,3
7,2.222,minP,253.7,4
7,2.222,gnull,243.23333333333332,5
7,2.222,ghc,237.26666666666665,6
7,2.222,hc,215.46666666666667,7
7,2.222,bj,210.63333333333333,8
7,2.222,score,201.73333333333332,9
7,2.778,ggnull,654.1333333333333,1
7,2.778,ghcFull,610.3,2
7,2.778,fdr,564.9,3
7,2.778,minP,550.6333333333333,4
7,2.778,gnull,539.8666666666667,5
7,2.778,bj,511.3666666666666,6
7,2.778,ghc,484.76666666666665,7
7,2.778,hc,430.06666666666666,8
7,2.778,score,344.43333333333334,9
12,2.222,ggnull,505.46666666666664,1
12,2.222,gnull,446.0,2
12,2.222,ghc,440.06666666666666,3
12,2.222,ghcFull,430.73333333333335,4
12,2.222,hc,420.5333333333333,5
12,2.222,bj,400.2,6
12,2.222,score,384.6333333333333,7
12,2.222,fdr,383.6,8
12,2.222,minP,370.93333333333334,9
12,2.778,ggnull,889.4,1
12,2.778,gnull,842.0666666666666,2
12,2.778,ghcFull,828.5,3
12,2.778,bj,818.1666666666667,4
12,2.778,ghc,808.7666666666667,5
12,2.778,hc,782.8000000000001,6
12,2.778,fdr,761.1333333333333,7
12,2.778,minP,738.9333333333333,8
12,2.778,score,676.0333333333334,9
