eps,mu,Type,power,r
16,2.76,hc,616.9,4
16,2.76,bj,607.8,5
16,2.76,fdr,596.1999999999999,6
16,2.76,minP,577.0,7
16,2.76,score,350.6,8
5,2.28,fdr,125.7,1
5,2.28,minP,124.89999999999999,2
5,2.28,gnull,105.1,3
5,2.28,ggnull,104.1,4
5,2.28,ghc,101.0,5-6
5,2.28,hc,101.0,5-6
5,2.28,bj,86.7,7
5,2.28,score,81.3,8
5,2.52,minP,183.2,1
5,2.52,fdr,183.0,2
5,2.52,gnull,134.20000000000002,3
5,2.52,ggnull,133.39999999999998,4
5,2.52,ghc,123.39999999999999,5-6
5,2.52,hc,123.39999999999999,5-6
5,2.52,bj,116.4,7
5,2.52,score,92.0,8
2,2.28,hc,1.0,1-8
2,2.28,gnull,1.0,1-8
2,2.28,bj,1.0,1-8
2,2.28,fdr,1.0,1-8
2,2.28,minP,1.0,1-8
2,2.28,score,1.0,1-8
2,2.28,ggnull,1.0,1-8
2,2.28,ghc,1.0,1-8
5,2.76,fdr,270.9,1
5,2.76,minP,267.0,2
5,2.76,gnull,195.3,3
5,2.76,ggnull,189.6,4
5,2.76,bj,177.0,5
5,2.76,ghc,160.1,6-7
5,2.76,hc,160.1,6-7
5,2.76,score,105.89999999999999,8
16,1.8,gnull,139.5,1
16,1.8,ggnull,137.8,2
16,1.8,ghc,134.4,3-4
16,1.8,hc,134.4,3-4
16,1.8,score,130.6,5
16,1.8,fdr,120.39999999999999,6
16,1.8,minP,118.0,7
16,1.8,bj,102.3,8
16,3.0,gnull,837.8,1
16,3.0,ggnull,837.0999999999999,2
16,3.0,bj,810.9,3
16,3.0,ghc,798.2,4-5
16,3.0,hc,798.2,4-5
16,3.0,fdr,769.7,6
16,3.0,minP,746.4,7
16,3.0,score,436.8,8
5,3.0,fdr,380.40000000000003,1
5,3.0,minP,375.0,2
5,3.0,gnull,271.6,3
5,3.0,ggnull,263.6,4
5,3.0,bj,251.6,5
5,3.0,hc,199.4,6
5,3.0,ghc,199.3,7
5,3.0,score,118.1,8
2,2.52,fdr,103.4,1
2,2.52,minP,103.1,2
2,2.52,gnull,81.19999999999999,3
2,2.52,ggnull,79.2,4
2,2.52,ghc,73.2,5-7
2,2.52,hc,73.2,5-7
2,2.52,bj,73.2,5-7
2,2.52,score,66.0,8
2,2.76,fdr,147.29999999999998,1
2,2.76,minP,146.8,2
2,2.76,gnull,98.7,3
2,2.76,ggnull,96.60000000000001,4
2,2.76,bj,93.10000000000001,5
2,2.76,hc,83.5,6
2,2.76,ghc,83.4,7
2,2.76,score,66.4,8
2,3.0,fdr,194.39999999999998,1
2,3.0,minP,192.8,2
2,3.0,gnull,120.7,3
2,3.0,ggnull,115.2,4
2,3.0,bj,113.9,5
2,3.0,hc,90.2,6
2,3.0,ghc,90.0,7
2,3.0,score,69.3,8
20,2.28,hc,400.7,1
20,2.28,ghc,400.6,2
20,2.28,gnull,398.1,3
20,2.28,ggnull,396.1,4
20,2.28,bj,339.8,5
20,2.28,fdr,324.7,6
20,2.28,minP,316.09999999999997,7
20,2.28,score,278.5,8
20,2.52,gnull,594.5,1
20,2.52,ggnull,591.7,2
20,2.52,hc,582.5,3
20,2.52,ghc,582.4,4
20,2.52,bj,543.6,5
20,2.52,fdr,491.20000000000005,6
20,2.52,minP,475.9,7
20,2.52,score,370.8,8
