eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
0,0.0,ghc,0,0
14,2.444,ggnull,0,0
14,2.444,ghc,0,0
14,2.556,ggnull,0,0
14,2.556,ghc,0,0
16,2.444,ggnull,0,0
16,2.444,ghc,0,0
16,2.556,ggnull,0,0
16,2.556,ghc,0,0
14,2.333,ggnull,0,0
14,2.333,ghc,0,0
14,2.667,ggnull,0,0
14,2.667,ghc,0,0
16,2.333,ggnull,0,0
16,2.333,ghc,0,0
16,2.667,ggnull,0,0
16,2.667,ghc,0,0
14,2.222,ggnull,0,0
14,2.222,ghc,0,0
14,2.778,ggnull,0,0
14,2.778,ghc,0,0
16,2.222,ggnull,0,0
16,2.222,ghc,0,0
16,2.778,ggnull,0,0
16,2.778,ghc,0,0
14,2.111,ggnull,0,0
14,2.111,ghc,0,0
14,2.889,ggnull,0,0
14,2.889,ghc,0,0
16,2.111,ggnull,0,0
16,2.111,ghc,0,0
16,2.889,ggnull,0,0
16,2.889,ghc,0,0
14,2.0,ggnull,0,0
14,2.0,ghc,0,0
14,3.0,ggnull,0,0
14,3.0,ghc,0,0
16,2.0,ggnull,0,0
16,2.0,ghc,0,0
16,3.0,ggnull,0,0
16,3.0,ghc,0,0
11,2.444,ggnull,0,0
11,2.444,ghc,0,0
11,2.556,ggnull,0,0
11,2.556,ghc,0,0
19,2.444,ggnull,0,0
19,2.444,ghc,0,0
19,2.556,ggnull,0,0
19,2.556,ghc,0,0
11,2.333,ggnull,0,0
11,2.333,ghc,0,0
11,2.667,ggnull,0,0
11,2.667,ghc,0,0
19,2.333,ggnull,0,0
19,2.333,ghc,0,0
19,2.667,ggnull,0,0
19,2.667,ghc,0,0
11,2.222,ggnull,0,0
11,2.222,ghc,0,0
11,2.778,ggnull,0,0
11,2.778,ghc,0,0
19,2.222,ggnull,0,0
19,2.222,ghc,0,0
19,2.778,ggnull,0,0
19,2.778,ghc,0,0
11,2.111,ggnull,0,0
11,2.111,ghc,0,0
11,2.889,ggnull,0,0
11,2.889,ghc,0,0
19,2.111,ggnull,0,0
19,2.111,ghc,0,0
19,2.889,ggnull,0,0
19,2.889,ghc,0,0
11,2.0,ggnull,0,0
11,2.0,ghc,0,0
11,3.0,ggnull,0,0
11,3.0,ghc,0,0
19,2.0,ggnull,0,0
19,2.0,ghc,0,0
8,2.444,ggnull,0,0
8,2.444,ghc,0,0
8,2.556,ggnull,0,0
8,2.556,ghc,0,0
22,2.444,ggnull,0,0
22,2.444,ghc,0,0
22,2.556,ggnull,0,0
22,2.556,ghc,0,0
8,2.333,ggnull,0,0
8,2.333,ghc,0,0
8,2.667,ggnull,0,0
8,2.667,ghc,0,0
22,2.333,ggnull,0,0
22,2.333,ghc,0,0
22,2.667,ggnull,0,0
22,2.667,ghc,0,0
8,2.222,ggnull,0,0
8,2.222,ghc,0,0
8,2.778,ggnull,0,0
8,2.778,ghc,0,0
22,2.222,ggnull,0,0
22,2.222,ghc,0,0
22,2.778,ggnull,0,0
22,2.778,ghc,0,0
8,2.111,ggnull,0,0
8,2.111,ghc,0,0
8,2.889,ggnull,0,0
8,2.889,ghc,0,0
22,2.111,ggnull,0,0
22,2.111,ghc,0,0
8,3.0,ggnull,0,0
8,3.0,ghc,0,0
22,2.0,ggnull,0,0
22,2.0,ghc,0,0
5,2.444,ggnull,0,0
5,2.444,ghc,0,0
5,2.556,ggnull,0,0
5,2.556,ghc,0,0
25,2.444,ggnull,0,0
25,2.444,ghc,0,0
25,2.556,ggnull,0,0
25,2.556,ghc,0,0
5,2.333,ggnull,0,0
5,2.333,ghc,0,0
5,2.667,ggnull,0,0
5,2.667,ghc,0,0
25,2.333,ggnull,0,0
25,2.333,ghc,0,0
25,2.667,ggnull,0,0
25,2.667,ghc,0,0
5,2.778,ggnull,0,0
5,2.778,ghc,0,0
25,2.222,ggnull,0,0
25,2.222,ghc,0,0
5,2.889,ggnull,0,0
5,2.889,ghc,0,0
25,2.111,ggnull,0,0
25,2.111,ghc,0,0
5,3.0,ggnull,0,0
5,3.0,ghc,0,0
25,2.0,ggnull,0,0
25,2.0,ghc,0,0
2,2.556,ggnull,0,0
2,2.556,ghc,0,0
28,2.444,ggnull,0,0
28,2.444,ghc,0,0
28,2.556,ggnull,0,0
28,2.556,ghc,0,0
2,2.667,ggnull,0,0
2,2.667,ghc,0,0
28,2.333,ggnull,0,0
28,2.333,ghc,0,0
28,2.667,ggnull,0,0
28,2.667,ghc,0,0
2,2.778,ggnull,0,0
2,2.778,ghc,0,0
28,2.222,ggnull,0,0
28,2.222,ghc,0,0
2,2.889,ggnull,0,0
2,2.889,ghc,0,0
28,2.111,ggnull,0,0
28,2.111,ghc,0,0
2,3.0,ggnull,0,0
2,3.0,ghc,0,0
28,2.0,ggnull,0,0
28,2.0,ghc,0,0
