eps,mu,Type,power,r
0,0.0,fdr,50.93333333333333,1
0,0.0,minP,50.86666666666667,2
0,0.0,ghcFull,50.733333333333334,3
0,0.0,ggnull,48.53333333333333,4
0,0.0,score,46.9,5
0,0.0,bj,46.733333333333334,6
0,0.0,gnull,46.66666666666667,7
0,0.0,ghc,46.63333333333333,8
0,0.0,hc,45.699999999999996,9
2,2.444,ghcFull,259.1,1
2,2.444,fdr,251.83333333333334,2
2,2.444,minP,249.33333333333331,3
2,2.444,ggnull,226.23333333333335,4
2,2.444,gnull,181.4,5
2,2.444,bj,172.7,6
2,2.444,score,148.66666666666666,7
2,2.444,ghc,133.20000000000002,8
2,2.444,hc,123.43333333333334,9
2,2.556,ghcFull,301.4,1
2,2.556,fdr,294.20000000000005,2
2,2.556,minP,289.8,3
2,2.556,ggnull,262.40000000000003,4
2,2.556,gnull,209.7,5
2,2.556,bj,201.26666666666668,6
2,2.556,score,163.6,7
2,2.556,ghc,139.46666666666667,8
2,2.556,hc,129.23333333333335,9
3,2.444,ghcFull,358.96666666666664,1
3,2.444,fdr,341.5,2
3,2.444,minP,334.7,3
3,2.444,ggnull,327.53333333333336,4
3,2.444,gnull,271.1,5
3,2.444,bj,255.9,6
3,2.444,score,232.83333333333334,7
3,2.444,ghc,202.7,8
3,2.444,hc,187.36666666666665,9
3,2.556,ghcFull,409.96666666666664,1
3,2.556,fdr,390.1333333333333,2
3,2.556,minP,383.06666666666666,3
3,2.556,ggnull,375.8666666666667,4
3,2.556,gnull,312.9666666666667,5
3,2.556,bj,299.8666666666667,6
3,2.556,score,257.56666666666666,7
3,2.556,ghc,217.13333333333335,8
3,2.556,hc,201.5,9
2,2.333,ghcFull,229.2,1
2,2.333,fdr,220.13333333333333,2
2,2.333,minP,216.9,3
2,2.333,ggnull,199.56666666666666,4
2,2.333,gnull,163.83333333333334,5
2,2.333,bj,152.7,6
2,2.333,score,138.86666666666667,7
2,2.333,ghc,125.93333333333334,8
2,2.333,hc,117.73333333333333,9
2,2.667,ghcFull,340.1333333333333,1
2,2.667,fdr,334.3,2
2,2.667,minP,330.0,3
2,2.667,ggnull,296.0333333333333,4
2,2.667,gnull,237.33333333333334,5
2,2.667,bj,230.53333333333333,6
2,2.667,score,180.73333333333332,7
2,2.667,ghc,149.36666666666667,8
2,2.667,hc,138.66666666666666,9
3,2.333,ghcFull,314.90000000000003,1
3,2.333,fdr,297.23333333333335,2
3,2.333,minP,291.1333333333334,3
3,2.333,ggnull,290.0333333333333,4
3,2.333,gnull,241.83333333333334,5
3,2.333,bj,227.03333333333333,6
3,2.333,score,207.76666666666665,7
3,2.333,ghc,184.4,8
3,2.333,hc,172.3,9
3,2.667,ghcFull,469.6333333333333,1
3,2.667,fdr,447.6,2
3,2.667,minP,441.43333333333334,3
3,2.667,ggnull,432.1333333333333,4
3,2.667,gnull,362.6666666666667,5
3,2.667,bj,351.3333333333333,6
3,2.667,score,285.5333333333333,7
3,2.667,ghc,236.03333333333333,8
3,2.667,hc,217.93333333333334,9
2,2.222,ghcFull,195.36666666666667,1
2,2.222,fdr,188.29999999999998,2
2,2.222,minP,186.43333333333334,3
