eps,mu,Type,power,r
0,0.0,score,52.833333333333336,1
0,0.0,hc,51.5,2
0,0.0,gnull,50.5,3
0,0.0,fdr,50.4,4
0,0.0,minP,50.333333333333336,5
0,0.0,bj,49.36666666666667,6
0,0.0,ghcFull,48.833333333333336,7
0,0.0,ggnull,48.300000000000004,8
0,0.0,ghc,47.4,9
17,2.444,ggnull,512.9666666666667,1
17,2.444,ghc,457.23333333333335,2
17,2.444,gnull,454.73333333333335,3
17,2.444,hc,446.5,4
17,2.444,ghcFull,445.56666666666666,5
17,2.444,bj,404.1333333333333,6
17,2.444,fdr,403.8666666666667,7
17,2.444,minP,389.40000000000003,8
17,2.444,score,298.3,9
17,2.556,ggnull,607.7,1
17,2.556,gnull,545.0333333333334,2
17,2.556,ghc,542.6666666666666,3
17,2.556,ghcFull,534.1666666666666,4
17,2.556,hc,529.8000000000001,5
17,2.556,bj,496.2,6
17,2.556,fdr,483.23333333333335,7
17,2.556,minP,466.4,8
17,2.556,score,334.3666666666666,9
21,2.444,ggnull,611.0666666666666,1
21,2.444,gnull,578.0333333333333,2
21,2.444,hc,573.8666666666667,3
21,2.444,ghc,566.9,4
21,2.444,bj,524.7333333333333,5
21,2.444,ghcFull,524.4,6
21,2.444,fdr,467.43333333333334,7
21,2.444,minP,452.06666666666666,8
21,2.444,score,387.29999999999995,9
21,2.556,ggnull,710.2,1
21,2.556,gnull,677.4666666666667,2
21,2.556,ghc,664.8666666666667,3
21,2.556,hc,664.7333333333332,4
21,2.556,bj,629.0666666666666,5
21,2.556,ghcFull,617.8000000000001,6
21,2.556,fdr,553.8333333333333,7
21,2.556,minP,533.3666666666667,8
21,2.556,score,440.6333333333333,9
17,2.333,ggnull,420.6333333333334,1
17,2.333,ghc,372.9666666666667,2
17,2.333,gnull,372.0,3
17,2.333,hc,368.20000000000005,4
17,2.333,ghcFull,365.9,5
17,2.333,fdr,335.73333333333335,6
17,2.333,minP,326.06666666666666,7
17,2.333,bj,320.6333333333333,8
17,2.333,score,264.0,9
17,2.667,ggnull,706.1333333333333,1
17,2.667,gnull,638.4,2
17,2.667,ghc,635.0333333333333,3
17,2.667,ghcFull,625.8333333333334,4
17,2.667,hc,614.1999999999999,5
17,2.667,bj,594.3666666666667,6
17,2.667,fdr,564.4333333333334,7
17,2.667,minP,546.7333333333333,8
17,2.667,score,373.8666666666667,9
21,2.333,ggnull,514.0666666666667,1
21,2.333,gnull,484.20000000000005,2
21,2.333,hc,483.43333333333334,3
21,2.333,ghc,477.5333333333333,4
21,2.333,ghcFull,435.6333333333333,5
21,2.333,bj,427.33333333333337,6
21,2.333,fdr,393.0,7
21,2.333,minP,380.03333333333336,8
21,2.333,score,349.46666666666664,9
