eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
0,0.0,ghc,0,0
15,2.444,ggnull,0,0
15,2.444,ghc,0,0
15,2.556,ggnull,0,0
15,2.556,ghc,0,0
19,2.444,ggnull,0,0
19,2.444,ghc,0,0
19,2.556,ggnull,0,0
19,2.556,ghc,0,0
15,2.333,ggnull,0,0
15,2.333,ghc,0,0
15,2.667,ggnull,0,0
15,2.667,ghc,0,0
19,2.333,ggnull,0,0
19,2.333,ghc,0,0
19,2.667,ggnull,0,0
19,2.667,ghc,0,0
15,2.222,ggnull,0,0
15,2.222,ghc,0,0
15,2.778,ggnull,0,0
15,2.778,ghc,0,0
19,2.222,ggnull,0,0
19,2.222,ghc,0,0
19,2.778,ggnull,0,0
19,2.778,ghc,0,0
15,2.111,ggnull,0,0
15,2.111,ghc,0,0
15,2.889,ggnull,0,0
15,2.889,ghc,0,0
19,2.111,ggnull,0,0
19,2.111,ghc,0,0
19,2.889,ggnull,0,0
19,2.889,ghc,0,0
15,2.0,ggnull,0,0
15,2.0,ghc,0,0
15,3.0,ggnull,0,0
15,3.0,ghc,0,0
19,2.0,ggnull,0,0
19,2.0,ghc,0,0
19,3.0,ggnull,0,0
19,3.0,ghc,0,0
12,2.444,ggnull,0,0
12,2.444,ghc,0,0
12,2.556,ggnull,0,0
12,2.556,ghc,0,0
22,2.444,ggnull,0,0
22,2.444,ghc,0,0
22,2.556,ggnull,0,0
22,2.556,ghc,0,0
12,2.333,ggnull,0,0
12,2.333,ghc,0,0
12,2.667,ggnull,0,0
12,2.667,ghc,0,0
22,2.333,ggnull,0,0
22,2.333,ghc,0,0
22,2.667,ggnull,0,0
22,2.667,ghc,0,0
12,2.222,ggnull,0,0
12,2.222,ghc,0,0
12,2.778,ggnull,0,0
12,2.778,ghc,0,0
22,2.222,ggnull,0,0
22,2.222,ghc,0,0
22,2.778,ggnull,0,0
22,2.778,ghc,0,0
12,2.111,ggnull,0,0
12,2.111,ghc,0,0
12,2.889,ggnull,0,0
12,2.889,ghc,0,0
22,2.111,ggnull,0,0
22,2.111,ghc,0,0
12,2.0,ggnull,0,0
12,2.0,ghc,0,0
12,3.0,ggnull,0,0
12,3.0,ghc,0,0
22,2.0,ggnull,0,0
22,2.0,ghc,0,0
9,2.444,ggnull,0,0
9,2.444,ghc,0,0
9,2.556,ggnull,0,0
9,2.556,ghc,0,0
25,2.444,ggnull,0,0
25,2.444,ghc,0,0
25,2.556,ggnull,0,0
25,2.556,ghc,0,0
9,2.333,ggnull,0,0
9,2.333,ghc,0,0
9,2.667,ggnull,0,0
9,2.667,ghc,0,0
25,2.333,ggnull,0,0
25,2.333,ghc,0,0
25,2.667,ggnull,0,0
25,2.667,ghc,0,0
9,2.222,ggnull,0,0
9,2.222,ghc,0,0
9,2.778,ggnull,0,0
9,2.778,ghc,0,0
25,2.222,ggnull,0,0
25,2.222,ghc,0,0
25,2.778,ggnull,0,0
25,2.778,ghc,0,0
9,2.111,ggnull,0,0
9,2.111,ghc,0,0
9,2.889,ggnull,0,0
9,2.889,ghc,0,0
25,2.111,ggnull,0,0
25,2.111,ghc,0,0
9,3.0,ggnull,0,0
9,3.0,ghc,0,0
25,2.0,ggnull,0,0
25,2.0,ghc,0,0
5,2.444,ggnull,0,0
5,2.444,ghc,0,0
5,2.556,ggnull,0,0
5,2.556,ghc,0,0
29,2.444,ggnull,0,0
29,2.444,ghc,0,0
29,2.556,ggnull,0,0
29,2.556,ghc,0,0
5,2.333,ggnull,0,0
5,2.333,ghc,0,0
5,2.667,ggnull,0,0
5,2.667,ghc,0,0
29,2.333,ggnull,0,0
29,2.333,ghc,0,0
29,2.667,ggnull,0,0
29,2.667,ghc,0,0
5,2.222,ggnull,0,0
5,2.222,ghc,0,0
5,2.778,ggnull,0,0
5,2.778,ghc,0,0
29,2.222,ggnull,0,0
29,2.222,ghc,0,0
5,2.889,ggnull,0,0
5,2.889,ghc,0,0
29,2.111,ggnull,0,0
29,2.111,ghc,0,0
5,3.0,ggnull,0,0
5,3.0,ghc,0,0
29,2.0,ggnull,0,0
29,2.0,ghc,0,0
2,2.556,ggnull,0,0
2,2.556,ghc,0,0
32,2.444,ggnull,0,0
32,2.444,ghc,0,0
32,2.556,ggnull,0,0
32,2.556,ghc,0,0
2,2.667,ggnull,0,0
2,2.667,ghc,0,0
32,2.333,ggnull,0,0
32,2.333,ghc,0,0
2,2.778,ggnull,0,0
2,2.778,ghc,0,0
32,2.222,ggnull,0,0
32,2.222,ghc,0,0
2,2.889,ggnull,0,0
2,2.889,ghc,0,0
32,2.111,ggnull,0,0
32,2.111,ghc,0,0
2,3.0,ggnull,0,0
2,3.0,ghc,0,0
32,2.0,ggnull,0,0
32,2.0,ghc,0,0
